ID,Language_ID,Parameter_ID,Form,Source,status,source_comment,
1,Badga,I,na,,,Kolipakam fieldwork,
2,Betta_Kurumba,I,na:ʋə,,,Kolipakam fieldwork,
3,Brahui,I,i:,,,Kolipakam (fieldwork),
4,Gondi,I,nanna,,,Kolipakam (fieldwork),
5,Kannada,I,na:nu,,,Kolipakam fieldwork,
6,Kodava,I,na:nə,,,Kolipakam fieldwork,
7,Kolami,I,ne:nu,,,Kolipakam (fieldwork),
8,Kota,I,a:n,,,Kolipakam (fieldwork),
9,Koya,I,nanna,,,Kolipakam fieldwork,
10,Kurukh,I,ae:n,,,Kolipakam (fieldwork),
11,Kuwi,I,na:nu,,,Kolipakam (fieldwork),
12,Kuwi,I,mu,,,Kolipakam (fieldwork),
13,Malayalam,I,ɲa:n,Andronov1964,,Kolipakam fieldwork,
14,Malto,I,he:nu,,,Kolipakam (fieldwork),
15,Ollari_Gadba,I,a:n,,,Kolipakam (fieldwork),
16,Parji,I,ān,Andronov1964,,,
17,Tamil,I,na:n,Andronov1964,,Kolipakam fieldwork,
18,Telugu,I,ne:nu,,,Kolipakam fieldwork,
19,Toda,I,o:n,,,Kolipakam fieldwork,
20,Tulu,I,ja:nu,,,Kolipakam fieldwork,
21,Yeruva,I,na:n,,,Kolipakam fieldwork,
22,Badga,all,ella,,,Kolipakam fieldwork,
23,Kannada,all,ella,,,Kolipakam fieldwork,
24,Kodava,all,ella,,,Kolipakam fieldwork,
25,Kota,all,ella:m,,,Kolipakam (fieldwork),
26,Malayalam,all,ella,,,Kolipakam fieldwork,
27,Tamil,all,ella:m,Andronov1964,,Kolipakam fieldwork,
28,Koya,all,anta:,,,Kolipakam fieldwork,
29,Telugu,all,anta,Andronov1964,,,
30,Koya,all,mottam,,,Kolipakam fieldwork,
31,Telugu,all,mottamu,,,Kolipakam fieldwork,
32,Toda,all,oʋʋoɖimo,,,Kolipakam fieldwork,
33,Telugu,all,anni,,,Kolipakam fieldwork,
34,Yeruva,all,nanga:ɭə,,,Kolipakam fieldwork,
35,Tulu,all,Ma:ta,,,Kolipakam fieldwork,
36,Betta_Kurumba,all,o:ʈəja,,,Kolipakam fieldwork,
37,Kuwi,all,hara,,,Kolipakam (fieldwork),
38,Brahui,all,kull,,,Kolipakam (fieldwork),
39,Malto,all,go:ʈahi:,,,Kolipakam (fieldwork),
40,Malto,all,gi:ʈeni:,,,Kolipakam (fieldwork),
41,Kurukh,all,majin,,,Kolipakam (fieldwork),
42,Kolami,all,ma:k,,,Kolipakam (fieldwork),
43,Gondi,all,bottig,,,Kolipakam (fieldwork),
44,Malayalam,ash,tʃa:mbal,,,Kolipakam fieldwork,
45,Malayalam,ash,tʃa:ɾam,,,Kolipakam fieldwork,
46,Tamil,ash,sa:mbal,Andronov1964,,Kolipakam fieldwork,
47,Badga,ash,kolabu:di,,,Kolipakam fieldwork,
48,Betta_Kurumba,ash,pi:di,,,Kolipakam fieldwork,
49,Kannada,ash,bu:di,,,Kolipakam fieldwork,
50,Kodava,ash,bu:di,,,Kolipakam fieldwork,
51,Kota,ash,po:du atukə,,,Kolipakam (fieldwork),
52,Koya,ash,bu:ɖida,,,Kolipakam fieldwork,
53,Telugu,ash,bu:ɖida,,,Kolipakam fieldwork,
54,Toda,ash,pu:di,,,Kolipakam fieldwork,
55,Yeruva,ash,bu:di,,,Kolipakam fieldwork,
56,Tulu,ash,tʃu:nja,,,Kolipakam fieldwork,
57,Tulu,ash,tʃo:nja,,,Kolipakam fieldwork,
58,Gondi,ash,ni:ɾ,,,Kolipakam (fieldwork),
59,Ollari_Gadba,ash,niɖ,,,Kolipakam (fieldwork),
60,Parji,ash,nīd,Andronov1964,,,
61,Brahui,ash,his,,,Kolipakam (fieldwork),
62,Kolami,ash,buggi,,,Kolipakam (fieldwork),
