Family,Group,Language,Code,Code2,#,I,thou,he,we,you,they,this,that,here,there,who,what,where,when,how,not,all,many,some,few,other,one,two,three,four,five,big,long,wide,thick,heavy,small,short,narrow,thin,woman,man,human,child,wife,husband,mother,father,animal,fish,bird,dog,louse,snake,worm,tree,forest,stick,fruit,seed,leaf,root,bark,flower,grass,rope,skin,meat,blood,bone,fat,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,leg,knee,hand,wing,belly,guts,neck,back,breast,heart,liver,drink,eat,bite,suck,spit,vomit,blow,breathe,laugh,see,hear,know,think,smell,fear,sleep,live,die,kill,fight,hunt,hit,cut,split,stab,scratch,dig,swim,fly,walk,come,lie,sit,stand,turn,fall,give,hold,squeeze,rub,wash,wipe,pull,push,throw,tie,sew,count,say,sing,play,float,flow,freeze,swell,sun,moon,star,water,rain,river,lake,sea,salt,stone,sand,dust,earth,cloud,fog,sky,wind,snow,ice,smoke,fire,ash,burn,road,mountain,red,green,yellow,white,black,night,day,year,warm,cold,full,new,old,good,bad,rotten,dirty,straight,round,sharp,dull,smooth,wet,dry,correct,near,far,right,left,at,in,with,and,if,because,name
Indo-european,Germanic,German,de,,207,ɪç,duː,eːɐ̯,viːɐ̯,iːɐ̯,ziː,diːs,das,hiːɐ̯,daː,veːɐ̯,vas,voː,van,viː,nɪçt,ˈalə,ˈfiːlə,ˈaɪ̯nɪɡə,ˈveːnɪç,ˈandəʁə,aɪ̯ns,tsvaɪ̯,dʁaɪ̯,fiːɐ̯,fʏnf,ɡʁoːs,laŋ,bʁaɪ̯t,dɪk,ʃveːɐ̯,klaɪ̯n,kʊʁts,ɛŋ,dʏn,fʁaʊ̯,man,mɛnʃ,kɪnt,fʁaʊ̯,man,ˈmʊtɐ,ˈfaːtɐ,tiːɐ̯,fɪʃ,ˈfoːɡəl,hʊnt,laʊ̯s,ˈʃlaŋə,vʊʁm,baʊ̯m,valt,ʃtɔk,fʁʊxt,ˈzaːmən,blat,ˈvʊʁtsəl,ˈʁɪndə,ˈbluːmə,ɡʁaːs,zaɪ̯l,haʊ̯t,flaɪ̯ʃ,bluːt,ˈknɔxən,fɛt,aɪ̯,hɔʁn,ʃvants,ˈfeːdɐ,haːɐ̯,kɔpf,oːɐ̯,ˈaʊ̯ɡə,ˈnaːzə,mʊnt,tsaːn,ˈtsʊŋə,ˈfɪŋɐnaːɡəl,fuːs,baɪ̯n,kniː,hant,ˈflyːɡəl,baʊ̯x,ˈaɪ̯nɡəvaɪ̯də,hals,ˈʁʏkən,bʁʊst,hɛʁts,ˈleːbɐ,ˈtʁɪŋkən,ˈɛsən,ˈbaɪ̯sən,ˈzaʊ̯ɡən,ˈʃpʊkən,ɛɐ̯ˈbʁɛçən,ˈblaːzən,ˈaːtmən,ˈlaxən,ˈzeːən,ˈhøːʁən,ˈvɪsən,ˈdɛŋkən,ˈʁiːçən,ˈfʏʁçtən,ˈʃlaːfən,ˈleːbən,ˈʃtɛʁbən,ˈtøːtən,ˈkɛmpfən,ˈjaːɡən,ˈʃlaːɡən,ˈʃnaɪ̯dən,ˈʃpaltən,ˈʃtɛçən,ˈkʁatsən,ˈɡʁaːbən,ˈʃvɪmən,ˈfliːɡən,ˈɡeːən,ˈkɔmən,ˈliːɡən,ˈzɪtsən,ˈʃteːən,ˈdʁeːən,ˈfalən,ˈɡeːbən,ˈhaltən,ˈkvɛtʃən,ˈʁaɪ̯bən,ˈvaʃən,ˈvɪʃən,ˈtsiːən,ˈdʁʏkən,ˈvɛʁfən,ˈbɪndən,ˈnɛːən,ˈtsɛːlən,ˈzaːɡən,ˈzɪŋən,ˈʃpiːlən,ˈʃveːbən,ˈfliːsən,ˈfʁiːrən,ˈʃvɛlən,ˈzɔnə,moːnt,ʃtɛʁn,ˈvasɐ,ˈʁeːɡən,flʊs,zeː,meːɐ̯,zalts,ʃtaɪ̯n,zant,ʃtaʊ̯p,ˈeːɐ̯də,ˈvɔlkə,ˈneːbəl,ˈhɪməl,vɪnt,ʃneː,aɪ̯s,ʁaʊ̯x,ˈfɔʏɐ,ˈaʃə,ˈbʁɛnən,ˈʃtʁaːsə,bɛʁk,ʁoːt,ɡʁyːn,ɡɛlp,vaɪ̯s,ʃvaʁts,naxt,taːk,jaːɐ̯,vaʁm,kalt,fɔl,nɔʏ̯,alt,ɡuːt,ʃlɛçt,faʊ̯l,ˈʃmʊtsɪç,ɡ(ə)ˈʁaːdə,ʁʊnt,ʃaʁf,ʃtʊmpf,ɡlat,nas,ˈtʁɔkən,ˈʁɪçtɪç,ˈnaː,vaɪ̯t,ʁɛçts,lɪŋks,baɪ̯,ɪn,mɪt,ʊnt,vɛn,vaɪ̯l,ˈnaːmə
Indo-european,Germanic,Luxembourgish,lb,lb,120,eχ,,,,du,,des,,hai̯,do,,,,,vɜɪ,,,,,,,eːn,t͡sweː,dʀæi̯,ˈfɜɪ̯ɐ,ˈfenef,,laːŋ,bʀeːt,,ʃwɜɪ̯ɐ,n,,,den,fʀa,mənʃ,,kant,,mɑn,mɑm,pɑp,dei̯(e)ʀ,feʃ,ˈfuʁəl,hont,,ʃlaːŋ,muə̯t,baːm,beʃ,,,zoːm,,ˈvuə̯t͡səl,ʃuəl,blum,ɡʀaːs,zeːl,hæu̯t,fleːʃ,blut,ʃɑŋk,,e,,,ˈfie̯deʀ,hoː(e)ʀ,,ˈəʊ̯ɐ,a,nuəs,mont,,t͡soŋ,ˈfaŋeʀˌnoːl,fou̯s,,knɜɪ̯,hant,,,,,ʀek,,,ˈliəvɐ,ˈdʀeŋken,ˈie̯sen,ˈbæi̯sen,,,ˈkɑtsən,,ˈoːtmən,ˈlaːχən,ɡeˈzin,ˈhei̯ʀen,,,,aŋʃt,ˈʃloːfən,ˈliə̯vən,,,,ˈjo.en,,,,,,ˈɡʀue̯ven,ˈʃwɑmən,,ˈɡo.en,,ˈliʑən,,ˈʃtoːən,,,,ˈhaːlen,,ˈʀɑɪvən,,,,,ɡeˈhai̯en,,ˈbitsen,ˈt͡siələn,,ˈzɑŋən,,,ˈflei̯sen,ˈfʀei̯ʀen,,zon,,ʃteːʀ,ˈvaːsɐ,ʀeːn,flos,zɜɪ,miːə̯,zɑlt͡s,ʃteːn,zɑnt,ʃtəps,,ˈvolək,ˈnivəl,ˈhimel,vant,ʃnɜɪ,æi̯s,damp,ˈfai̯(e)ʀ,æʃ,,,biə̯χ,ʀəʊt,ɡʀeŋ,ɡie̯l,væːɪ̯s,,ˈnuə̯ɕt,daːχ,joː(e)ʀ,vaːʀm,kaːl,fol,nɑɪ̯,,,,,,ʀiːχt,,,,ɡlaːt,naːs,ˈdʀeχen,,,,,leŋks,,,mɑt,an,,væl,num
Indo-european,Germanic,Dutch,nl,,207,ɪk,jɛi,hɛi,ʋɛi,ˈjʏli,zɛiː,ˈdeːzə,di,hiːr,daːr,ʋi,ʋɑt,ʋaːr,ʋɑˈneːr,hu,nit,ɑl,veːl,ˈɛŋkələ,ˈʋɛinəχ,ˈandər,eːn,tʋeː,dri,viːr,vɛif,ɣroːt,lɑŋ,breːt,dɪk,zʋaːr,klɛin,kɔrt,smɑl,dʏn,vrɔu,mɑn,mɛns,kɪnt,vrɔu,mɑn,ˈmudər,ˈvaːdər,diːr,vɪs,ˈvoːɣəl,hont,lœys,slɑŋ,ʋɔrm,boːm,ʋɔut,stɔk,frœyt,zaːt,blɑt,ˈʋɔrtəl,sxɔrs,blum,ɣrɑs,tɔuw,hœyt,vleːs,blut,beːn,vɛt,ɛi,ˈhoːrn,staːrt,veːr,haːr,hoːft,oːr,oːx,nøːs,mɔnt,tɑnt,tɔŋ,ˈvɪŋərˈnaːɣəl,vut,beːn,kni,hɑnt,ˈvløːɣəl,bœyk,ˈdɑrmə,nɛk,rʏx,bɔrst,hɑrt,ˈleːvər,ˈdrɪŋkə,ˈeːtə,ˈbɛitə,ˈzœyɣə,ˈspywə,ˈbraːkə,ˈblaːzə,ˈaːdəmə,ˈlɑxə,zin,ˈhoːrə,ˈʋeːtə,ˈdɛŋkə,ˈrœykə,ˈvreːzə,ˈslaːpə,ˈleːvə,ˈstɛrvə,ˈdoːdə,ˈvɛxtə,ˈjaːɡə,slaːn,ˈknɪpə,ˈsplɛitə,ˈsteːkə,ˈkrɑbə,ˈɣraːvə,ˈzʋɛmə,ˈvliɣə,ˈloːpə,ˈkoːmə,ˈlɪɣə,ˈzɪtə,staːn,ˈdraːjə,ˈvɑlə,ˈɣeːvə,ˈhɔudə,ˈknɛipə,ˈʋrɛivə,ˈʋɑsə,ˈveɣə,ˈtrɛkə,ˈdywə,ˈʋɛrpə,ˈvɑstmaːkə,ˈnaːjə,ˈtɛlə,ˈzɛɣə,ˈzɪŋə,ˈspeːlə,ˈdrɛivə,ˈvlujə,ˈvrizə,ˈzʋɛlə,zɔn,maːn,stɛr,ˈʋaːtər,ˈreːɣən,riˈviːr,meːr,zeː,zɔut,steːn,zɑnt,stɔf,ˈaːrdə,ʋɔlk,mɪst,lʏxt,ʋɪnt,sneːw,ɛis,roːk,vʏːr,ɑs,ˈbrɑndə,ʋɛx,bɛrx,roːt,ɣrun,ɣeːl,ʋɪt,zʋɑrt,nɑxt,dɑx,jaːr,ʋɑrm,kɔut,vɔl,niːw,ɔut,ɣut,slɛxt,rɔt,vœyl,rɛxt,rɔnt,sxɛrp,stɔmp,ɣlat,nɑt,droːx,jœyst,dɪxtˈbɛi,vɛr,rɛxts,lɪŋks,aːn,ɪn,mɛt,ɛn,ɑls,ɔmˈdɑt,naːm
Indo-european,Germanic,Afrikaans,af,,61,ɛk,,,,jəi,,dɨt,,,dɑːr,,vat,,,,ni,,bajə,,,,,tvɪə̯,,,,,,,,,,,,,,,,kənt,,,,fɑːdər,,fəs,,ɦɔnt,,slɑŋ,,bʊəm,bɔs,,,,blɑːr,,bɑs,,,,,fləis,blut,,,ˈəiər,,,,,,ʊər,oəχ,nɪøs,mɔnt,,,,,,,,,,,,rœχ,bɔ(ː)rs,,,,,,,,,,,ɫɐχ,,,vɪət,dəŋk,,frɪəs,,,,,,,,,,,,,,,lʊəp,kɔm,,,,,fal,,ɦœu,,,,,,,,,,tɛ̞ːl,sɛː,səŋ,,,flui,,,,,,ˈvɑːtər,rɪə̯(n),rəˈfiːr,,,,,sant,stɔf,ˈɑːr.də,vɔlk,,lœχ,,sniu,ə̟i̯s,,fyːr,,,pɑt,,roːi̯,,χɪə̯l,vət,,naχ,daχ,jɑːr,,kœut,fɔl,,œu,χut,,,,,,,,,,,,,,,,,,,ɛn,,,
Indo-european,Germanic,English,en,en,207,aɪ,ðaʊ,ˈhiː,wiː,juː,ðeɪ,ðɪs,ˈðæt,hɪə(ɹ),ðɛə(ɹ),hw,wɔt,ʍɛə(ɹ),ʍɛn,haʊ,nɒt,ɔːl,ˈmɛni,sʌm,fjuː,ˈʌðə(ɹ),wʌn,tuː,θɹiː,fɔː,faɪv,bɪɡ,ˈlɒŋ,waɪd,θɪk,ˈhɛ.vi,smɔːl,ʃɔːt,ˈnæɹoʊ,ˈθɪn,ʊ,mæn,ˈ(h)juːmən,t͡ʃaɪld,waɪf,ˈhʌzbənd,ˈmʌðə(ɹ),ˈfɑː.ðə(ɹ),ˈænɪməl,ˈfɪʃ,bɜːd,dɒɡ,laʊs,ˈsneɪk,wɜːm,tɹiː,ˈfɒɹɪst,stɪk,fɹuːt,siːd,liːf,ɹuːt,bɑːk,ˈflaʊ.ə,ɡɹɑːs,ɹəʊp,skɪn,miːt,blʌd,boʊn,fæt,ɛɡ,hɔːn,teɪl,ˈfɛð.ə(ɹ),hɛə,hɛd,ɪə̯,aɪ,nəʊz,maʊθ,tuːθ,tʌŋ,ˈfɪŋɡɚˌneɪl,fʊt,lɛɡ,niː,hænd,wɪŋ,bɛli,ɡʌts,nɛk,bæk,bɹɛst,hɑːt,lɪvə(ɹ),dɹɪŋk,iːt,baɪt,sʌk,spɪt,ˈvɒmɪt,bləʊ,bɹiːð,laːf,siː,hɪə(ɹ),nəʊ,θɪŋk,smɛl,fɪə,sliːp,lɪv,daɪ,kɪl,faɪt,hʌnt,hɪt,kʌt,splɪt,stæb,skɹætʃ,dɪɡ,swɪm,flaɪ,wɔːk,kʌm,laɪ̯,sɪt,stænd,tɜːn,fɔːl,ɡɪv,həʊld,skwiːz,ɹʌb,wɒʃ,waɪp,pʊl,pʊʃ,θɹəʊ,taɪ,səʊ,kaʊnt,seɪ,sɪŋ,pleɪ,fləʊt,fləʊ,ˈfɹiːz,swɛl,sʌn,muːn,stɑː(ɹ),ˈwɔːtə,ɹeɪn,ˈɹɪvə,leɪk,siː,sɔːlt,stəʊn,sænd,dʌst,ɜːθ,klaʊd,fɒɡ,skaɪ,ˈwɪnd,snəʊ,aɪs,sməʊk,ˈfaɪ.ə(ɹ),ˈæʃ,bɝn,ɹəʊd,ˈmaʊntɪn,ɹɛd,ɡɹiːn,ˈjɛl.əʊ,waɪt,blæk,naɪt,deɪ,jɪə,wɔːm,kəʊld,fʊl,njuː,ˈəʊld,ɡʊd,bæd,ˈɹɑtn̩,ˈdɜːti,stɹeɪt,ˈɹaʊnd,ʃɑːp,dʌl,smuːð,wɛt,dɹaɪ,kəˈɹɛkt,nɪə(ɹ),fɑː,ˈɹaɪt,lɛft,æt,ɪn,wɪð,ænd,ɪf,bɪˈkɒz,neɪm
Indo-european,Germanic,Yiddish,yi,yi,52,ɪχ,,,,,,,,,,,vɔs,vʊ,,,nit,ˈalə,aˈsax,,,,,tsvɛj,dʁaj,fiʀ,fɪnf,,,,,,ˈkleɪn,,,,,mɛnt͡ʃ,,kɪnd,,,ˈmʊtəʁ,ˈfɔtəʁ,,fɪʃ,fɔjɡl,hʊnt,,ʃlaŋ(ɡ),,bɔjm,,,fʁʊχt,ˈzɔɪ̯mn̩,blat,,,blʊm,ɡʁɔz,,heɪt,flɛɪʃ,blʊt,,,,,,,hɔʁ,,ˈɔɪ.əʁ,,,,tsɔn,tsʊŋ(ɡ),,fʊs,fʊs,knɪ,hant,,bɔɪχ,,haldz,,,,,,,,,,,,,,,,vɪsn̩,,,,,,,ˈtɛjtn̩,,,,,,,,,,,,ˈkʊmən,,,,,,,,,,,,,,,,,,ˈzɔ.ɡŋ̩,ˈzɪn.ɡn̩,,,,,,zʊn,,ˈʃtɛʁən,,,,,,,,,,,,,,,,,,,,,,,,ɡʁin,,vajs,,,tɔɡ,jɔʁ,,,,,,ɡʊt,,,,,,,,,,,,,,,,,,,ʊn,,,nɔmɛn
Indo-european,Germanic,Frisian,fy,fy,53,ɪk,,hɛi̯,vɛi̯,doː,ja,,,,,,,,,,ˈnɛt,,,,,,,,,,,,,,,swiər,,,,,,ˈminskə,,bɛːn,,,,hai̯t,,fɪsk,,huːn,,,,bɪə̯m,,,,,,,,blom,ɣɛːs,,,flai̯s,bluə̯t,,,aːi̯,,,,,ˈholə,,ɪə̯x,,ˈmulə,,,,,skoŋk,,,,,,,rɛːx,,hɛt,,ˈdrɪŋkə,,,,,,,,ˈlai̯tsjə,,ˈjɛ(ː)rə,,,,,,ˈlɪbjə,,,,,,,,,,,ˈsvɪm.mə,mɪx,,,,,ˈsteən,,,jaːn,hɔːdə,,,,,,ˈtrjoːə,,,,,,,,,,,,,ˈmwanə,,ˈvɛtər,rai̯n,,,seː,,stiə̯n,,,,,,,,sniə,iːs,,fjuə̯r,ˈjɪskə,,,bɛrx,,ɣriə̯n,,vit,,ˈnaxt,,iə̯r,vaːrm,,,nɛi̯,ɔːt,,,,,,,,,,,,,,,,,,,,ɛn,ɔs,,
Indo-european,Germanic,Scots,sco,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Germanic,Norwegian Nynorsk,nn,nn,59,eːɡ,,,meː,dʉː,,,,,,,kʋɑː,,,ˈkʊrlæɪs,²ɪçːə,,,,,,,,,,,,,,çʊkː,tʊŋː,,,,,²kʋɪnːə,²mɛnːɛʃə,,bɑːrn,,,,,,,fʉɡl,,,,,,,çɛp,,frøː,,ruːt,,bluːm,ɡrɑːs,,,çøːt,bluː,bæɪn,,ɛɡː,hʊrn,,fjøːr,hoːr,,,²æʉɡə,,,tɑnː,,,fuːt,bæɪn,,hɑnd,,,,hɑls,,,²jɑrtə,ˈleːʋɛr,,,,,,,,,,ʃoː,,,,,,,,,,,,,,,,,,²sʏmjɑ,²flʉːɡə,,,,,,,,,,,,,,,,,,,,²sæɪɑ,²sʏŋːjɑ,,,,,,suːl,,²stjɛrnə,ˈʋɑtn̩,,,,hɑːʋ,,,sɑnd,,,ʃyː,,,,snøː,iːs,,ɛld,,,,fjɛlː,ræʉ,,,kʋiːt,,nɑtː,,oːr,,,,,²ɡɑːmɑl,,,,²ʃɪtːn̩,,,,,,,,,næːr,,rɛtː,,poː,iː,meː,oː,,,
Indo-european,Germanic,Norwegian Bokmål,nb,nb,18,jæɪ̯,,,,dʉː,,ˈdɛn,,,,,,,,,,,,nuː.en,,,,,,,,,,,,,,kɔʈ,,,²kʋɪnə,,,,,,,,,,,,,,,,,çɛp,,,,,,,,,,çœt,,,,,,,,,,,,,,,,,,,,han,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ˈsʋøme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ˈstjæːɳə,ʋɑnː,,,,,,,sɑn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɾɛt,,poː,iː,meː,ɔ,,,
