word,de,nl,af,en,yi,fy,no,sv,da,is,fo,lv,lt,pl,cs,sk,sl,bg,mk,be,uk,ru,pt,gl,es,ca,oc,fr,it,ro,ga,cy,br,gd,gv,sq,hy,el,ka,xmf,lzz,sva,te
I,ɪç,ɪk,ɛk,aɪ,ɪχ,ɪk,eːɡ,ˈjɑː(ɡ),jaj,jɛɣ,eː,ɛs,ɐʂ,ja,jaː,ˈja,,as,jas,,ˈjɑ,ja,ˈew,ˈew,ɟ͡ʝo,ˈʒɔ,ˈjew,ʒə,ˈi.o,jew,mʲeː,miː,,mi,miː,ˈun,jɛs,eˈɣo,mɛ,mä,mä,mi,
thou,duː,ɣɛi̯,,ðaʊ,,,,dʉː,du,θu,tʰʉuː(w),,tʊ,tɨ,tɪ,ˈti,ˈtíː,ti,ti,,ˈtɪ,tɨ,tu,,ˈtu,ˈtu,,ty,t̪u,tu,t̪ˠuː,tiː,,hu,,,du,,ʃɛn,si,si,si,
he,ʔeːɐ̯,ɦɛi̯,,ˈhiː,,hɛi̯,,hanː,han,ˈhanː,,viɲʃ,jɪs,ɔn,on,ɔn,ˈɔ́n,t̪ɔj,tɔj,jon,ˈʋʲin,on,ˈe.li,ˈel,el,ˈeʎ,,il,ˈlui,,ʃeː,eːv,,ɛ,,,nɑ,aˈftos,is,tʰinä,ɛjä,ɛdʒi,
we,viːɐ̯,ʋɛi̯,,wiː,,vɛi̯,meː,viː,,vɪð,,mɛ̄ːs,mʲæːs,mɨ,mɪ,ˈmi,ˈmíː,ˈni.ɛ,niɛ,,ˈmɪ,mɨ,ˈnɔʃ,,noˈsotɾos,noˈzal.tɾəs,nus,nu,ˈnoi,noj,mˠɪdʲ,niː,,ʃiɲ,,nɛ,mɛŋkʰ,e̞ˈmis,tʃvɛn,tʃkʰi,tʃkʰin,næ,
you,duː,jɛi̯,jəi,juː,,doː,dʉː,dʉː,du,θu,tʰʉuː(w),tu,tʊ,tɨ,tɪ,ˈti,ˈtíː,ti,ti,,ˈtɪ,tɨ,tu,,ˈtu,ˈtu,ty,ty,t̪u,tu,t̪ˠuː,tiː,,hu,u,ti,du,e̞ˈsi,tʰkʰvɛn,tʰkʰvä,tʰkʰvän,sgæ,
they,ziː,zɛi̯,,ðeɪ,,ja,,dɔm,di,θeiːr,tʰaiːɹ,,jæ,ˈɔ.ɲi,ˈoɲɪ,ˈɔɲi,ˈɔ̀ːni,t̪ɛ,tiɛ,,wɔˈnɪ,ɐˈnʲi,ˈe.lɨʃ,,ˈeʎos,ˈeʎs,,il,,jej,ʃiəd̪ˠ,huːɨ̯,,iət̪,,aˈta,nəˈɾɑŋkʰ,,isini,tʰinɛpʰi,ɛntʰɛpʰɛ,ɛdʒær,
this,ˈdiːzər,ˈdeːzə,dɨt,ðɪs,,,,,,ˈθɛsːɪ,,ʃis,,tɛn,ˈtɛnto,,ˈtáː,ˈt̪ɔzi,ˈɔvɔj,,,ˈɛtət,ˈɛʃ.tɨ,,ˈeste,əˈkəst,,sə,ˈkwes.to,aˈt͡ʃest,ʃɔ,hʊn,,ʃɔ,,ky,ɑjs,aˈftos,ɛs,tʰɛnä,äjä,äli,iː
that,ˈjeːnɐ,dɑt,,ˈðæt,,,,dɛnː,dən,,,tas,,ˈtam.tɛn,ˈtamtɛn,tɛn,,ˈɔnzi,,toj,,tot,ˈe.sɨ,,ˈese,əˈkəʃ,,sə,ˈkwello,aˈt͡ʃela,ənˠ,ˈhʊnʊ,,ʃɪn,,,ɑjd,,is,tʰinä,ɛjä,ɛdʒi,aː
here,hiːɐ,ɦir,,hɪə(ɹ),,,,hæːr,,çɛːr,,,tʃʲɛ,tu,ˈtoto,,ˈtúːkaj,ˈtuk,ˈtuka,,,zʲdʲesʲ,ɐˈki,,aˈki,əˈki,,i.si,kwa,aˈit͡ʃʲ,,,,,,,ɑjsˈtɛʁ,,äkʰ,tʰäkʰ,äkʰ,ämɛtʃu,
there,dɔrt,daːr,dɑːr,ðɛə(ɹ),,,,dɛːr,dar,ˈθartna,,tùɾ,,tam,tam,ˈtam,ˈtám,,ˈtamu,,ˈtɑm,tam,ɐ.ˈi,,aˈʎi,əˈʎa,,la,,aˈko.lo,ənʲˈʃɪnʲ,ˈəna,,,,,ɑjnˈtɛʁ,e̞ˈci,ikʰ,tʰɛkʰ,ɛkʰ,ɛtʃɛtʃu,
who,veːɐ̯,ʋi,,hw,,,,,vɛm,xʷɛːr,kvøːr,,,ktɔ,ɡdo,kto̞,ˈɡdòː,kɔj,kɔj,xto,ˈxtɔ,kto,kẽ(j̃),,ˈkjen,ˈki,,ki,k̟i,,ceː,puːɨ̯,piv,koː,,kuʃ,ɔv,,vin,mi,min,jær,
what,vas,ʋɑt,vat,wɔt,vɔs,,kʋɑː,vɑː(d),vad,xʷaːð,kvɛaːʰt,,,t͡sɔ,t͡so,ˈt͡ʃɔ,ˈkàːj,kɐkˈvɔ,,ʂto,ʃtʃɔ,ʂto,u ˌki,,ˈke,ˈkə,,kwa,,t͡ʃe,kad̪ˠ,beːθ,ˈpe.tʁa,tʲeː,,tʃfaɹ(ə),int͡ʃʰ,,rä,mu,mu,mæ,
where,voː,ʋaːr,,ʍɛə(ɹ),vʊ,,,dɛːr,,,,kùɾ,kʊr,ɡd͡ʑɛ,ɡdɛ,ˈɡɟɛ,ˈkjèː,,ˈkadɛ,,ˈdɛ,ɡdʲe,ˈõ.d͡ʒi,ˈonde̝,ˈdonde,ˈon,ˈunt,u,ˈdove,ˈunde,,,,,,,vɔɾˈtɛʁ,,säd,sɔ,sɔ,imɛg,
