word,sl,lv,ru,mk,pl,cs,lt,bg,sk,be,uk
sky,nɛˈbóː,,ˈnʲebə,,ˈɲɛ.bɔ,ˈnɛbɛ,dɐŋˈɡʊs,nɛˈbɛ,ˈɲɛbɔ,ˈnʲeba,
rain,ˈdə́ʃ,liɛ̂tus,doʂtʲ,dɔʃt,dɛʂt͡ʂ,ˈdɛːʃc,ljɛˈtʊs,dɤʃt,daːʃc,doʂt͡ʂ,dɔʃt͡ʃ
wind,,vɛ̄ːjʃ,ˈvʲetʲɪr,ˈvɛtɛr,vʲatr,ˈviːtr̩,ˈʋʲeːjɛs,ˈvʲatər,ˈvi̯ɛtɔr,,ˈʋʲiter
water,,ûːdɛns,vɐˈda,,ˈvɔ.da,ˈvoda,,,ˈvɔda,vaˈda,wɔˈdɑ
hand,rɔ̀ːka,ɾùoka,rʊˈka,,ˈrɛŋ.ka,ˈruka,ɾɐŋˈkɐ,rəˈka,ˈruka,,rʊˈkɑ
meat,mɛˈsóː,ɡaʎa,ˈmʲasə,,ˈmʲɛ̃.sɔ,ˈmaso,,mɛˈsɔ,ˈmæso,ˈmʲasa,ˈmjɑsɔ
leg,nɔ̀ːɡa,kāːja,nɐˈɡa,,ˈnɔ.ɡa,ˈnoɦa,,krak,ˈnɔɦa,naˈɣa,
sun,ˈsóːntsɛ,sāūle,ˈsont͡sə,ˈsɔnt͡sɛ,ˈswɔɲ.t͡sɛ,ˈslunt͡sɛ,ˈsɑuleː,ˈslɤntsɛ,ˈsɫ̩ŋkɔ,ˈsont͡sa,ˈsɔnt͡sɛ
mother,ˈmàːti,māːtɛ,matʲ,,ˈmat.ka,ˈmatka,,ˈmajkə,ˈmatka,,ˈmɑte
father,ˈɔ̀ːtʃɛ,tǣːws,ɐˈtʲet͡s,,ˈɔj.t͡ɕɛt͡s,ˈotɛt͡s,ˈtʲeːvɐs,bɐˈʃta,ˈɔcɛt͡s,ˈbat͡sʲka,ˈbɑtʲkɔ
