word,pl,cy,de,lt,ru,gv,el,xmf,te,yi,lzz,da,es,is,it,sva,ka,sl,oc,sv,br,fo,ga,pt,nl,lv,sk,bg,be,gd,af,ro,fy,ca,hy,gl,mk,no,sq,cs,fr,uk
come,pʂɨˈxɔ.d͡ʑit͡ɕ,doːd,ˈkɔmən,ɐˈtʲɛjːtʲɪ,prʲɪxɐˈdʲitʲ,,ˈeɾxome,mɔulä,,ˈkʊmən,mɔlvä,kɔmə,beˈniɾ,ˈkʰɔːma,veˈnire,liqʰɛd,mɔsvlä,ˈprìːti,,ˈkɔmːa,,,t̪ˠaɾˠ,ˈviɾ,ˈkoːmə(n),nāːkt,,,,hikʲ,kɔm,veˈni,,vəˈni,ɡɑl,,,,,ˈpr̝̊ɪxaːzɛt,və.niʁ,
sit,ˈɕɛ.d͡ʑɛt͡ɕ,ˈei̯sdɛð,ˈzɪtsn̩,sʲeːˈdʲeːtʲɪ,sʲɪˈdʲetʲ,,ˈkaθome,dɔχunä,,,dɔχunu,seðə,senˈtaɾ,ˈsɪːtja,seˈdere,lisgwrɛ,dʒdɔmä,ˈsɛdèːti,,,,,sˠɪɟ,iʃ.ˈtaɾ,ˈzɪtə(n),,,sɛˈdʲɤ,,,,,,ˈsɛw.ɾə,nəsˈtɛl,,,,ulɛm,ˈsɛɟɛt,,seˈdʲite
all,ˈfʂɨ.stɛk,ɪˈɡɨːd,al,ˈvʲɪ.sɐs,vʲesʲ,,,ärdzä,,ˈalə,iri,alə,ˈtodos,,ˈtutto,mæg,qʼvɛlä,ˈʋə́s,tut,ˈalˌa,,ˈat.lʊɹ,ˈɪlʲə,ˈto.ðu,ɑl,,ˈfʃɛtɔk,,,,,tot,,ˈtot,bɔˈlɔɾ,,ˈsitɛ,,ɡjiθ(ə),ˈfʃɪxɲɪ,tus,
bird,ptak,aˈdɛrɨ̞n,ˈfoːɡəl,ˈpɒʊk.ʃtʲɪs,ˈptʲit͡sə,ˈoʒaɡ,puˈli,kʼvintʃä,pakʂi,fɔjɡl,kʼintʃi,fuːl,ˈpaxaɾo,fʏkl,uˈt͡ːʃɛlːo,næpʼr,tʃitʼi,ˈptítʃ,awˈsɛl,foːɡəl,,,eːnˠ,ˈpa.sa.ɾu,ˈvoːɣəl,,ˈftaːk,ˈptitsə,,ian,,,,ˈaw,tʰərˈtʃʰun,,ˈpti.t͡sa,fʉɡl,zɔɡ,ptaːk,wa.zo,ˈptɑx
round,ɔˈkrɔŋ.ɡwɨ,krʊn,ʀʊnt,,ˈkruɡlɨj,,,rgväli,,,mɔrgväli,,reˈdondo,,roˈtondo,kʼurpʼi,mrgväli,otˈkròːɡəw,,,,,kɾˠiːnʲ,ʁɨ.ˈdõ.du,rɔnt,,,,ˈkruɣɫɨ,kʰruɪɲ,,roˈtund,,roˈdo,,reˈðondo̝,,,,ˈkulatiː,ʁɔ̃,
worm,ˈrɔ.bak,,,,t͡ɕerfʲ,beˈʃtʲeːɡ,sku.ˈli.ci,tʃʼiä,,,tsʼitsʼi,,ɡuˈsano,ˈmaθkʏr,ˈvɛrme,mətʼ,tʃʼiä,ˈtʃə́rw,,,pʁɛ̃,,pʲeːʃtʲ,ˈvɛɾ.mɨ,,,ˈt͡ʃɛrw,ˈtʃɛrvɛj,,,,,,ˈkuk,vɔɾtʰ,ˈbɛɾme̝,,,kɾimb,ˈt͡ʃɛrf,vɛʁ,
fire,ˈɔ.ɡʲɛɲ,taːn,ˈfɔʏər,ʊɡˈnʲɪs,ɐˈɡonʲ,,foˈtça,dätʃχiri,,,dätʃχuri,il,ˈfweɡo,ˈɛltʏr,ˈfwɔko,lɛmɛsg,tsɛtsχli,ɔ̀ːɡənʲ,,ˈɛld,ˈtɑ̃ːn,,ˈtʲɪnʲə,ˈfo.ɣu,vyr,uɡuns,ˈɔɦɛɲ,ˈɔɡən,aˈɣonʲ,ˈtʰʲenə,fyːr,fok,fjuə̯r,ˈfɔk,kəˈɾɑk,ˈlu.mɪ,,ɛld,zjaɾm,ˈoɦɛɲ,fø,wɔˈɦɔnʲ
because,bɔ,ˈaχɔs,vaɪ̯l,nʲɛs,pətɐˈmu‿ʂtə,,,räχäns,,,ɔkʰi,,ˈporke,,perˈke,läχä,rädgän,kɛr,,,,tʊiː,oːɾʲ,poʁ.ˈke,ɔm.ˈdɑt,,ˈprɛtɔʒɛ,,,ˈɔir,,ˈpen.tru kə,,pəɾˈkə,vɔɾɔfhɛˈtɛv,,,,,ˈprotoʒɛ,paʁ.skə,bɔ
and,i,,ʊnt,,i,,ce̞,dɔ,,ʊn,dɔ,ˈɒw,ʝ,ɔːɣ,e,i,dä,in,,ɔ,,oː,ˈɑɡəsˠ,ˈɛ,ɛn,ùn,,i,i,,ɛn,ʃi,ɛn,ˈi,ɛv,,i,oː,ðɛ,a,e,ˈi
sharp,ˈɔ.strɨ,,ʃarf,ɐʃt̪ˈrʊs̪,ˈostrɨj,,kofteˈros,kʼväntʰiri,,,mtʃʼkʼirulä,,aˈɡudo,xʷasː,affiˈlato,bæsr,bäsri,ˈòːstər,,,,ˈkvasːʊr,ɟeːɾˠ,a.fi.ˈa.du,sxɛrp,as,,osˈtɤr,ˈvostrɨ,,,as.kuˈt͡sit,,əz.moˈlat,suɾ,,,,,ˈostriː,a.fi.le,
