word,nv,ku,mg,tn,ca,kfe,lo,bfq,bg,mk,an,si,hu,ta,nn,sv,kfa,tt,kk,rm,gon,mh,es,sa,gd,ne,id,ky,cs,ks,ae,om,pt,ar,av,kxv,el,kff,ko,kw,ps,my,kl,br,gdb,sc,fi,af,se,am,qu,gn,eu,th,wo,gl,ab,gv,kfb,bn,ga,yi,is,fo,co,as,ro,mi,sl,ay,wa,dz,ii,pci,ha,oc,tr,az,ch,brh,nb,os,hi,pl,ru,ht,pa,ba,ug,sd,aa,tk,mjt,vi,xub,it,tg,rw,kn,mt,tcy,ty,xmf,hy,la,et,bm,te,jv,ml,lv,zu,st,de,sq,lt,lb,gu,ee,ki,fr,za,ja,ka,da,fa,mn,sk,he,nl,mr,ny,xh,cy,yea,sva,km,tl,kru,ur,iu,ce,sw,cv,tcx,fy,uk,uz,lzz,bo,ms,li,be
all,,,,,ˈtot,ella:m,,ella,,ˈsitɛ,,,ˈmindɛn,ella:m,,ˈalˌa,ella,,,,bottig,,ˈtodos,s̪ɐ́ɽ.ʋɐ,,,sə.mu.a,,ˈfʃɪxɲɪ,,,,ˈto.ðu,kull,,hara,,anta:,ˈmo̞ːdɯn,,,ʔálóʊɴ,,,tukud,,,,,,,,,,,,,,ma:k,,ˈɪlʲə,ˈalə,,ˈat.lʊɹ,,xɔ.kɔ.lʊ,tot,,ˈʋə́s,,,,,tūk,,tut,byˈtyn,,,kull,,,səb,ˈfʂɨ.stɛk,vʲesʲ,,,ˈbʏ̞.tæ,,,,,go:ʈahi:,,o:ʈəja,ˈtutto,,,ella,,ma:ta,,ärdzä,bɔˈlɔɾ,,,,anta,,ella,,,,al,ɡjiθ(ə),ˈvʲɪ.sɐs,,,blɪbəʊ,,tus,,sɨᵝbe̞te̞,qʼvɛlä,alə,hæˈme,,ˈfʃɛtɔk,kol,ɑl,,,,ɪˈɡɨːd,nanga:ɭə,mæg,,,majin,,,,,,oʋʋoɖimo,,,,iri,,səmuə,,
mother,,,,,ˈma.ɾə,,mɛː˧˧,,ˈmajkə,,,,ˈɒɲɒ,,,muːr,,,,,,,ˈmadɾe,ɐm.bɑ́ː,ˈmaːhəɾʲ,,,,ˈmatka,,,,mɐ̃j̃,ʔam.ma,,,miˈtera,,ʌ̹mma̠,mæm,mor,,,ˈmãmː,,ˈmama,ˈæi̯ti,,ˈea̯dːniː,,,,aˈma,mɛː˥˩,,ˈnaj,,maːɹ,,,ˈmˠɑːhəɾʲ,ˈmʊtəʁ,ˈmamːa,ˈmɔuwɪr,,ma,ˈma.mə,,ˈmàːti,,,,,,,ˈmajɾe,anne,,,,,,,ˈmat.ka,matʲ,,,æˈsæj,ɑnɑ,,,,,mɛ˧˨ʔ,,ˈma.dre,mɔːdær,,,ɔmː,,,didä,mɑjɾ,,,,,,,māːtɛ,úmʱáːma,,ˈmʊtɐ,,,mɑm,,,,mɛʁ,ma˨˦,okakasama,dɛdä,,mɒːˈd̪æɾ,ix,ˈmatka,ˈ(ʔ)em,ˈmu.dər,,ˈmá.ji,úɲoːko,mam,,di,m̥ṭāy,,,,,,,,,,ˈmɑte,,nänä,,ibu,,
correct,,,,,koˈrɛk.tə,,kɛ᷈ː,,ˈvɛrɛn,,,,ˈhibaːtlɒn,,,,,,,,,,koˈreɡto,,,,tə.pat,,ˈspraːvniː,,,,ku.ˈʁɛ.tu,sˁa.ħiːħ,,,so̞ˈsto̞s,,o̞ɭtʰa̠,,,m̥àɴ,,,,,ˈo̞ike̞ɑ,,,,,,,tʰuːk̚˨˩,,,,,,,,,ˈrjɛht,,,xu.dʱɔ,koˈrekt,,praˈʋíːlən,,,,,,,,,,,,,,sə.ɦiː,pra.vʲiˈdwɔ.vɨ,ˈpravʲɪlʲnɨj,,,dʏ̞ˈrʏ̞θ,,,,,,ʔɗʊwŋ͡m˧˦,,korˈrɛtto,,,,,,,tʰinu,t͡ʃiʃt,,,,,,,paɾɛ̄īs,,,kɔˈʁɛkt,,,,,,,kɔʁɛkt,,,stsʼɔri,,doˈɾos(t),,,,,,,,ˈkəu̯ɪr,,mɛgu,,,,səɦiː,,,,,,,,,mtʰini,,bə.na(r),,praˈvʲilʲnɨ
forest,,,ˈa.la,,ˈbɔsk,,,,ɡoˈra,ˈʃuma,,,ˈɛrdøː,,,skuːɡ,,,,,,,ˈboske,ʋɐ́.n̪ɐ,ˈkʰɤʎə,,hu.tan,,lɛs,,,,floˈɾɛs.ta,ɣaː.ba,,,ˈðasɔs,,sʰup̚,,d͡zəŋɡəl,tɔ́,,ˈkwɑːt,,,ˈmetsæ,bɔs,,,,,,paː˨˩,,ˈbɔske,,kiːlʲ,,,kiːlʲ,,ˈskouːʏr,,,ɦa.bi,pə.ˈdu.ɾe,,ˈɡɔ́st,,,,,,,,,,,,,,,las,lʲes,,,urˈmɑn,,,,,,zɨŋ˨˩,,,beʃæ,,,,,,tʼqʼä,ɑnˈtɑr,ˈsil.wa,,,,,,,îːɬâːtʰi,,valt,pyɫ,ˈmɪʂ.kɐs,beʃ,,,,fɔ.ʁɛ,ɗoŋ˨˦ fai˦˨,mo̞ɾʲi,tʼqʼɛ,,beːˈʃæ,,ˈlɛs,ˈja(ʕ)aʁ,ʋɑu̯t,,,,ˈkɔɨ̯dwɪɡ,,tsχɛkʼ,b̥rai,,,,,,,,,,,,gɛrmä,*ɕiŋ.naks,hutan,,lʲes
throw,,,,,ʎənˈsa,,,,,,,,ˈdob,,,,,,,,,,,,ˈtʃʰilikʲ,,,,,,,,lɐ̃.ˈsaɾ,,,,,,tʌ̹nd͡ʑida̠,,,pjɪʔ,,,,,ˈhei̯tːæːˣ,,,,,,,joːn˧,,,,,,,kɑh,,ˈkʰasta,kʰasta,,dɔ.liʊa,,,,,,,,,,,,ɑtˈmɑχ,,,,,pʰeːŋk.nɑː,ˈʐu.t͡sat͡ɕ,brɐˈsatʲ,,,,,,,,,nɛm˧˦,,,ændɔːxtæn,,,,,,ʔɔtʰämä,nɛˈtɛl,ˈjak.toː,,,,,,mest,,,ˈvɛʁfən,,ˈmʲɛsʲtʲɪ,ɡeˈhai̯en,,,,ʒə.te,,,srɔlä,,ændɒːxtæn,xajəx,,,ˈʋɛrpə(n),,,,ˈtavlɨ̞,,likʼwänɛ,poḥ,,,,,,,,,,,,ɔstʰɔmilu,,,,
wash,,,,,rənˈta,,,,,,,,ˈmoʃ,,,,,,,,,,,,,,,,miːt,,,,lɐˈvaɾ,,,,,,ɕ͈it̚t͈a̠,,,sʰé,,,,,ˈpestæ(ʔ),,,,,,,laːŋ˦˥,,,,,,,nʲɪɟ,,θvɔː,,,dʱʊa,,,,,,,,,,,,juˈmɑχ,,,,,ˈd̪ʱoː.n̪ɑː,mɨt͡ɕ,mɨtʲ,,,,,,,,,zɨə˧˩,,,ʃustæn,,,,,,rtʃχuälä,ləˈvɑl,ˈla.woː,,,,,,mazɡâːt,,,ˈvaʃən,,,,,,,la.ve,,a̠ɾa̠ɯ̟ᵝ,rɛtsχvä,,ʃostæn,,,,ˈʋɑsə(n),,,,ˈɡɔlχɪ,,liʃqʼwdi,lāṅ,maɡ.ˈhu.ɡas,,d̪ʱuːn̪aː,,,,,,,,,ɔtʃχu,,,,
fire,k͡xõʔ˩,,afʷ,,ˈfɔk,nippu,fai˦˥,kitʃtʃə,ˈɔɡən,,,,ˈtyːz,neruppu,ɛld,ˈɛld,titta,,,,taɖmi,,ˈfweɡo,ɐɡ.n̪í,ˈtʰʲenə,,a.pi,,ˈoɦɛɲ,,aːtar,,ˈfo.ɣu,naːr,,dankeɾe,foˈtça,kis,puɭ,,or,mí,,ˈtɑ̃ːn,tukud,,ˈtuli,fyːr,ˈtolla,,,,,faj˧,,ˈlu.mɪ,,,kiss,,ˈtʲɪnʲə,,ˈɛltʏr,,,zui,fok,,ɔ̀ːɡənʲ,,,,,kic,,,ɑ̟ˈt̪ɛʃ,,,xa:xaɾ,,,ɑːɡ,ˈɔ.ɡʲɛɲ,ɐˈɡonʲ,,,ut,,,,ɔt,tʃitʃadu,lɨə˧˩,tissə,ˈfwɔko,,,benki,,tuʋu,,dätʃχiri,kəˈɾɑk,ˈiɡ.nis,ˈtulʲi,,nippu,,te:,uɡuns,uḿ̩liːlo,,ˈfɔʏər,zjaɾm,ʊɡˈnʲɪs,ˈfai̯(e)ʀ,,,,fø,fei˧˩,⟨hi2⟩,tsɛtsχli,il,,ɢaɮ,ˈɔɦɛɲ,,vyr,,ˈmó.to,úḿ̩liːlo,taːn,ti:,lɛmɛsg,b̥ʰloeṅ,,tʃitʃtʃ,,,,,,ti:ttə,fjuə̯r,wɔˈɦɔnʲ,,dätʃχuri,*me,api,,aˈɣonʲ
pull,,,,,tiˈɾa,,,,,,,,ˈhuːz,,,,,,,,,,tiˈɾaɾ,,,,,,ˈtaːɦnou̯t,,,,pu.ˈʃa(ɹ),,,,,,ˈk͈ɯːɭda̠,,,sʰwɛ́,,,,,,,,,,,,dɯŋ˧,,,,,,ˈʈana,,,ˈtraːɣa,,,ta.na,,,,,sɛt͡ʃiː,,,,,,t͡ʃɛcˈmɛc,t͡ʃækˈmæk,,,,,kʰĩː(ɳ).t͡ʃnɑː,ˈt͡ɕɔŋ.ɡnɔɲt͡ɕ,tʲɪˈnutʲ,,,,,,,,,kɛw˧˦,,t̪iˈrare,,,,,,,zindäpʰi,kʰɑˈʃɛl,ˈwel.loː,,,,,,,,,ˈtsiːən,,,,,,,ti.ʁe,,,mɔkʰätʃvä,trɛkə,kʲeʃiːˈd̪æn,tʰatʰəx,ˈci̯aɦnuc,,ˈtrɛkə(n),,,,,,libid,dāñ,,,,,,,,,,tʲɐˈɦɑte,,ɔzdimu,,tareʔ,,t͡sʲaˈɣat͡sʲ
tie,,,,,,,,,,,,,ˈkøt,,,,,,,,,,aˈtaɾ,,,,,,ˈpr̝̊ɪvaːzat,,,,ɐˈtaɾ,,,,,,muk̚t͈a̠,,,t͡ɕʰì/,,,,,,,,,,,,joːŋ˧,,,,,,,,,,,,bɔn.dʱa,,,,,,,,,,,ˈbɑːɫamac,,,,,,,ˈvʲɔ̃.zat͡ɕ,ˈsvʲazɨvətʲ,,,,,,,,,kot̚˧˨ʔ,,leˈɡare,,,,,,,dɔkʼiruä,kɑˈpɛl,ˈli.ɡoː,,,,,,,,,ˈbɪndn̩,,ˈrʲɪʃʲtʲɪ,,,,,lje,,,däbmä,benə,,,,,ˈknoːpə(n),,,,,,libɛm,cṅ,,,,,,,,,,,,mɛkʼiru,,,,
near,,,,,,,,,ˈblizək,,,,ˈkøzɛl,,næːr,,,,,,,,ˈθerka,,dɫ̪uː,,dəkat,,ˈbliːskiː,,,,ˈpɛɾ.tu,qa.riːb,,,,,ka̠k͈a̠p̚t͈a̠,,niɡˈde,ní,,,,,,,,,,,,klaj˥˩,,,,,,,d̪ˠlˠuː,,,,,,a.ˈpro̯a.pe,,,,,,,,,,jaˈkɯn,jɑχˈɯn,,,,,,ˈblʲis.kʲi,ˈblʲiskʲɪj,,,jɑ.ˈqɯ̞n,,,,,,ɣən˨˩,,viˈtʃino,,,,ʔriːp,,,χɔlɔ,mɔt,proˈpin.kʷus,,,,,,,,,naː,,,,,,,pʁɛ,,,äχlɔ,nɛːr,næzˈd̪iːkʲ,,,,,,,,,,pʰɛdiä,jit,,,,,,,,,,,,χɔlɔs,,dəkat,,ˈblʲiskʲi
