word,sv,yi,sk,lzz,cs,gon,kru,lo,my,id,ur,yea,mn,ml,ar,ga,af,gdb,lb,fo,cy,se,pci,tr,tcy,de,it,zu,vi,he,lt,uk,az,ba,ku,ka,te,fa,sl,th,fy,xmf,gd,kfb,bfq,br,es,hy,bn,el,nl,kxv,gv,be,tg,kfe,kn,da,ug,pl,ko,hi,la,sa,bg,ro,tcx,kff,oc,mjt,sva,sq,ca,km,ms,as,hu,ny,ja,za,fr,ru,pt,bo,en,mk,kfa,tl,xub,ps,nn,lv,mt,fi,is,gl,brh,ta
leaf,,blat,ˈlist,pʰävri,ˈlɪst,a:ki,atkʰa,baɯ˩˨,ʔəjwɛʔ,,pətːiː,ele,,ila,wa.ra.qa,ˈdʲɪloːɡ,blɑːr,ʈunɖe,,blɛaː,ˈdei̯lɛn,ˈlasːta,ev,jɑpˈɾɑk,iɾa,blat,ˈfɔʎʎa,íːkʰaːsi,laː˧˦,(ʔ)aˈla,,,jɑrˈpɑχ,jɑpˈrɑq,,pʰɔtʰɔli,a:ku,bæɾɡ,ˈlíːst,baj˧,,pʰurtsɛli,,a:k,elə,ˈde.ljɛ̃n,ˈoxa,tɛˈɾɛv,,ˈfilo̞,blɑt,patɾa,ˈd̪olʲaɡ,lʲist,,e:lu,jele,blad,,lʲiɕt͡ɕ,ip̚,,ˈfo.li.um,,,ˈfrun.zə,eɾs,a:ki:,ˈfɥɛʎo,ha:tʰa,bälɛ,,ˈfu.ʎə,s̥lẏk,daon,,ˈlɛveːl,ˈt͡sa.ᵐba,pa,,fœj,lʲist,ˈfo.ʎɐ,*lo.ma,liːf,,elakaɳɖa,ˈda.hon,jali,pɑˈɳa,,,ˈwɛrʔɐ,ˈlehti,løyːv,ˈfo.ʎɐ,pann,ele
wipe,,,,ɔtsʼimidu,ˈuciːrat,,,,θoʊʔ,,mɪʈanaː,,,,ma.sa.ħa,ˈkɪmʲɪlʲ,,,,,,,,,,ˈvɪʃn̩,aʃʃuˈɡare,,law˧˧,ˈneɡev,,,,,,tsʼmɛndä,,,,t͡ɕʰet̚˦˥,,tsʼiminduä,,,,,limˈpjaɾ,səɾˈpʰɛl,,,ˈveː.ɣə(n),,,,,,,veskɘ,,vɨˈt͡ɕɛ.rat͡ɕ,ɕ͈it̚t͈a̠,,ˈter.ɡoː,,,,,,ejsyˈɣa,,likʼwtsæni,,ə.ʃuˈɡa,,,mɔ.sa,ˈtørøl,,,,e.sɥi.je,vɨtʲɪˈratʲ,ˌes.fɾe.ˈɡa(ɻ),,waɪp,ˈbriʃɛ,,,,,,slāwtsîːt,,ˈpyːçki.æˣ,,,,
mother,muːr,ˈmʊtəʁ,ˈmatka,nänä,ˈmatka,,,mɛː˧˧,,,,,ix,,ʔam.ma,ˈmˠɑːhəɾʲ,,,mɑm,ˈmɔuwɪr,mam,ˈea̯dːniː,,anne,,ˈmʊtɐ,ˈma.dre,úmʱáːma,mɛ˧˨ʔ,ˈ(ʔ)em,,ˈmɑte,,æˈsæj,,dɛdä,,mɒːˈd̪æɾ,ˈmàːti,mɛː˥˩,,didä,ˈmaːhəɾʲ,,,ˈmãmː,ˈmadɾe,mɑjɾ,,miˈtera,ˈmu.dər,,maːɹ,,mɔːdær,,,,ɑnɑ,ˈmat.ka,ʌ̹mma̠,,,ɐm.bɑ́ː,ˈmajkə,ˈma.mə,,,ˈmajɾe,,di,,ˈma.ɾə,m̥ṭāy,ibu,ma,ˈɒɲɒ,ˈmá.ji,okakasama,ma˨˦,mɛʁ,matʲ,mɐ̃j̃,,ˈmʌðə(ɹ),,,,,mor,,māːtɛ,ɔmː,ˈæi̯ti,ˈmamːa,ˈnaj,,
I,ˈjɑː(ɡ),ɪχ,ˈja,mä,jaː,nanna,ae:n,kʰɔːj˨˩,t͡ɕʊ̀ɴdɔ̀/,saja,mɛ̃,na:n,,ɲa:n,ʔa.na,mʲeː,ɛk,a:n,eχ,eː,miː,ˈmun,ān,bɛn,ja:nu,ɪç,ˈi.o,miːná,toj˧˧,(ʔ)aˈni,ɐʂ,ˈjɑ,mæn,mʲin,,mɛ,ne:nu,mæn,,pʰom˩˩˦,ɪk,mä,mi,ne:nu,na,,ɟ͡ʝo,jɛs,ˈɑmiː,eˈɣo,ɪk,na:nu,miː,,mæn,a:n,na:nu,jaj,mæn,ja,na̠,mɛ̃ː,ˈe.ɡoː,ɐ.ɦɐ́m,as,jew,o:n,nanna,ˈjew,he:nu,mi,ˈun,ˈʒɔ,k̥ʰñuṃ,sajə,mɔɪ,ˈeːn,ˈi.ne,ɰᵝa̠ta̠ɕi,kou˨˦,ʒə,ja,ˈew,*ŋa,aɪ,jas,na:nə,ˈko,na:ʋə,zə,eːɡ,ɛs,jɪːn,ˈminæ,jɛɣ,ˈew,i:,na:n
thin,,,ˈcɛŋkɔ,tʰitʰχu,ˈtɛŋkiː,,,baːŋ˩˨,pá,,,,,,,keːl̪ˠ,,,den,,ˈtɛnaɨ̯,,,inˈdʒɛ,,dʏn,sotˈtile,,mawŋ͡m˧˩,,,,,jʊ̞ˈqɑ,,tʰχɛli,,,,baːŋ˧,,tʰχitʰχu,,,,,ˈfino,bɑˈɾɑk,,,,,,ˈtonkʲi,,,,,,ˈt͡ɕɛn.kʲi,ka̠nɯɭda̠,pət̪.lɑː,supˈtiː.lis,,ˈtɤnək,slab,,,,,dətʰχɛl,,,s̥ṭoeṅ,,,ˈveːkoɲ,,,,mɛ̃s,ˈtonkʲɪj,ˈfi.nu,,ˈθɪn,ˈtɛnɔk,,,,,,tiêws,,ˈohut,ˈθʏnːʏr,,,
hair,hoːr,hɔʁ,,tʰɔmä,ˈvlasɪ,kel,tʃuʈʈi,,zəbɪ̀ɴ,,bɒːl,tilami,,muɖi,ʃa.ʕa.ra,ɡɾˠuəɟ,,tʃendi,hoː(e)ʀ,hɔaːɹ,ɡwaːɬd,,tūk,sat͡ʃ,ku:dʒal,haːɐ̯,,ûːnwéːle,tawk͡p̚˧˦,sa.ʔaˈʁa,,wɔˈlɔsʲːɐ,sɑt͡ʃ,sæs,,tʰmä,veɳʈɾukalu,mo,ˈláːs,pʰom˩˩˦,,tʰumä,,ti:ɾu,oɾame,,kaˈbeʎo,,tʃul,,ɦaːr,bana,,ˈvoɫas,,manɖə mi:ɾə,kūdalu,,,ˈvwɔ.sɨ,mʌ̹ɾikʰa̠ɭ,bɑːl,ˈko.ma,kɐ́j.ɕɐ,koˈsa,,mi:ɾs,dʒuʈʈul,,ta:li,pʰätʰw,ˈcimɛ,kəˈbəʎ,sk´,rambot,suli,ˈhɒj,,,,ʃə.vø,ˈvoləsɨ,kɐ.ˈβe.lu,,hɛə,ˈkɔsa,telami,bu.ˈhok,ta:kəɾə,,hoːr,mats,ʃaˁːr,,hauːr,kaˈβ̞elʊ,puʒʒɛ,muɖi
root,,,ˈkɔrɛɲ,dʒidʒi,ˈkor̝ɛn,hi:ɾ,pa:da,hâːk,ʔəmjɪʔ,,d͡ʒəɽ,be:ɾə,untəs,ʋe:ɾə,d͡ʒa.ða.ra,fʲɾʲeːvˠ,,kuɾe,ˈvuə̯t͡səl,ɹɔuːt,ɡwrai̯ð,ˈruo̯htas,vār,,be:ɾu,ˈvʊʁt͡sl̩,raˈditʃe,ímpâːnde,ze˦ˀ˥,ˈʃoʁɛʃ,ʃɐkʲˈn̪ʲɪs̪,ˈkɔrʲinʲ,kœk,tɑˈmɯ̞r,ˈɾɛh,pʰɛsvi,ʋe:ɾu,ɾeːʃæ,kɔrɛˈnìːna,raːk̚˥˩,,dʒindʒi,,ʋe:ɾkam,pe:ɾə,,raˈiθ,ɑɾˈmɑt,,,ˈʋɔr.təl,ʋeɾ,,ˈkoranʲ,reʃæ,bʰulo:gam,be:ɾu,roːd,,ˈkɔ.ʐɛɲ,p͈uɾi,d͡ʒəɽ,ˈraː.diːks,,ˈkɔrɛn,,ʋeɾ,ʋe:ɾ,rraˈis,banda:,tsʼusχund,rəːɲ,əˈrɛl,ṛs,aka(r),xia,ˈɟøkeːr,ˈmu.zu,ne̞,,ʁa.sin,ˈkorʲɪnʲ,ʁa.ˈis,*rt͡sa.ba,ɹuːt,,be:ɾə,,bja:ɾə,,ruːt,,,,rouːt,raˈiθ,ɾo:tɛ,ʋe:ɾə
blow,,,,bäräpʰä,ˈvaːt,,,,m̥oʊʔ,,,,uɮex,,na.fa.xa,ʃeːdʲ,,,,,ˈχwəθɨ̞,,,,,ˈblaːzn̩,sofˈfjare,,tʰoj˧˩,,ˈpǔːsʲtʲɪ,,,,,bɛrvä,,,,pʰat̚˦˥,,bäruä,,,,,,pʰəˈt͡ʃʰɛl,,,ˈblaːzə(n),,,,,,,blɛːsə,,ˈdmu.xat͡ɕ,ˈpuːɭda̠,,floː,,,,,,,,libɛlɛ,,buˈfa,pk´,,,ˈfuːj,,ɸɯ̟ᵝkɯ̟ᵝ,,su.fle,dutʲ,suˈpɾaɾ,,bləʊ,ˈduva,,,,,,,,,,,,
hit,,,ˈudri̯ɛc,gɛtʃämu,,,,,jaɪʔ,,marna,,,,dˁa.ra.ba,,,,,,ˈtarɔ,,,,,ˈʃlaːɡən,kolˈpire,,ʔɗəp̚˧˨ʔ,,,,,,,rtʼqʼmä,,zæˈd̪æn,,tiː˧,,mɛgämä,ˈbuɪl,,,,,χəˈpʰɛl,,,ˈraːkə(n),,,,,,,slɔː,,uˈdɛ.ʐat͡ɕ,t͡ɕʰida̠,ˈmɑːɾ.nɑː,,,,,,,,,liqʼɛr,,kol.pəˈʒa,vāy,,,ˈyt,,ɯ̟ᵝt͡sɨᵝ,,fʁa.pe,ʊdɐˈrʲætʲ,ɡow.pe.ˈaɾ,,hɪt,,,,,,,,,,stlauː,,,
sit,,,,dɔχunu,ˈsɛɟɛt,udda,okʰna,naŋ˧˧,tʰàɪɴ,,,iɾaiku,sʊːx,iɾikkuga,d͡ʒa.la.sa,sˠɪɟ,,undu,,,ˈei̯sdɛð,,tūk,,kullaɾa,ˈzɪtsn̩,seˈdere,,ŋoj˨˩,jaˈʃav,sʲeːˈdʲeːtʲɪ,seˈdʲite,oturˈmɑχ,,,dʒdɔmä,ku:ɾtʃo,neʃæsˈt̪ʰæn,ˈsɛdèːti,naŋ˥˩,,dɔχunä,,udə,kuɭəʋə,,senˈtaɾ,nəsˈtɛl,ˈbɔʃa,ˈkaθome,ˈzɪtə(n),,,,,bʰulo:gam,kuɭitiko,seðə,,ˈɕɛ.d͡ʑɛt͡ɕ,a̠nt͈a̠,bɛʈʰnaː,ˈse.de.oː,,sɛˈdʲɤ,,eɾakkaɾ,kudda:,,hokpo,lisgwrɛ,ulɛm,ˈsɛw.ɾə,ʾṅ̥guy,dudoʔ,bɔɦ,ˈyl,,sɨᵝɰᵝa̠ɾɯ̟ᵝ,,,sʲɪˈdʲetʲ,iʃ.ˈtaɾ,,sɪt,,aɭe,ʔu.mu.ˈpoʔ,ku:ɾsu,,,,ʔaˁːt,ˈistuɑˣ,ˈsɪːtja,,tu:ling,ukka:ɾə
new,ny,,ˈnɔviː,äʁäni,ˈnoviː,puna,pu:na,mai˧˧,θɪʔ,,n̪əjaː,pudijai,ʃin,pudija,d͡ʒa.diːd,n̪ˠuə,,nia,nɑɪ̯,nʊt͡ʃːʊɹ,ˈnɛu̯ɨ̞ð,ˈoðas,pun,,posatta,nɔʏ̯,ˈnwɔ.vo,,məːj˧˦,χaˈdaʃ,,,jeˈni,jɑ.ˈŋɯ̞,ˈnuː,äχäli,kotta,,ˈnɔ́w,maj˨˩,nɛi̯,äχäli,uːɾ,kota,ostə,ˈne.ve,ˈnwebo,nɔɾ,nɔt̪un,ˈne̞o̞s,niu̯,puni,,,,pudijadə,hosadu,nyː,,ˈnɔ.vɨ,sʰe̞ɾo̞p̚t͈a̠,nə.jɑː,ˈno.wus,n̪ɐ.ʋɐ,nɔf,now,pudu:n,kottad,,pu:na,mäχɛ,ɾi,ˈnɔw,t̥ʰmī,baru,,ˈuːj,,arataɕiki,mo˧˥,nu.vo,ˈnovɨj,ˈno.vu,*ksar.pa,njuː,,pudija,,pəjjmən,ˈnəwai,,jaûns,dʒdiːt,,niːr,ˈnɔ.βʊ,pu:skun,pudusə
small,ˈliːˌtɛn,ˈkleɪn,ˈmaliː,tʃʼutʼä,ˈmaliː,tʃinna,sanni,,θé,kə.tʃil,t͡ʃʰoː.ʈɑː,tʃeɾija,,tʃeɾija,sˁa.ɣiːr,bʲɔɡ,,kande:k,n,,baːχ,,cin,cyˈtʃyc,kiɲa,klaɪ̯n,pikˈko.lo,,ɲɔ˧˩,,ˈmaːʒɐs,mɐˈlɛnʲkei̯,kiˈt͡ʃik,bæ.læˈkæj,,pʼätʼärä,tʃinna,kʰuːtʃʰækʲ,ˈmáːjxən,lek̚˦˥,,tʃʼitʃʼɛ,pek,sinna,kunnadə,,peˈkeɲo,ˈpʰɔkʰəɾ,,miˈkro̞s,klɛi̯n,,,maˈlʲenʲkʲi,,guntə,tʃikkadu,lilə,kiˈt͡ʃik,ˈma.wɨ,ˈt͡ɕa̠ːk̚t͈a̠,t͡ʃʰoː.ʈɑː,ˈpar.wus,,ˈmalək,mik,ke:ɾu:ɖə,tʃinnad,,ɾikʋa:di,χɔχrä,ˈvɔɡəl,pəˈtit,tūc,,xɔ.ɹu,ˈkit͡ʃi,,tipisasi,,pə.ti,ˈmalʲɪnʲkʲɪj,pɪ.ˈke.nʊ,*t͡ɕʰuŋ.t͡ɕʰuŋ,smɔːl,maɫ,tʃeɾijadə,,kiɾi,waˈɺ̢ukai,,,zaˁjr,,smauːr,peˈkeno̝,tʃunak,ciṟiya
swell,,,,ɔbäru,,,,,,,,,,,,,,,,ˈpœlna,,,,,,ˈʃvɛlən,,,sɨŋ˧˧,,,,,,,ʃɛʃupʼɛbä,,,,bua̯m˧,,mbäruä,,,,,,uˈrɛl,,ˈpɾizome,ˈzʋɛlə(n),,,,,,,,,ˈpux.nɔɲt͡ɕ,pupʰuɭda̠,,in.tuˈmeːs.koː,,,,,,,,liʃiɛ,,imˈflaɾ.sə,,,pʰu.la,ˈdɒɡɒd,,,,ɡɔ̃.fle,rəzdʊˈvat͡sːə,ĩ.ˈʃa(ɹ),,swɛl,,,,,,,,,,,,,
heavy,tɵŋ,,ˈcaʃ.kiː,mɔnkʼä,ˈcɛʃkiː,,,,lé,,,,xunt,,θa.qiːl,t̪ˠɾˠuːmˠ,,,ʃwɜɪ̯ɐ,,trʊm,,,ɑˈɰɯ́ɾ̝̊,,ʃveːɐ̯,peˈsante,,naŋ˧˨ʔ,,sʊŋˈkʊs,ʋɐˈʒkɪi̯,,ɑˈwɯ̞r,,mdzimɛ,,sæŋˈɡʲiːn,ˈtɛ̀ːʒək,nak̚˨˩,swiər,mɔnkʼä,,,,,peˈsado,ˈtsɑnəɾ,,,zʋaːr,,,ˈt͡sʲaʂkʲi,,,,tɔnɡ,,ˈt͡ɕɛŋ.ʂkʲi,muɡʌ̹p̚t͈a̠,bʱɑː.ɾɑː,ˈɡra.wis,,ˈtɛʒək,ɡrew,,,,,gwæmi,,,d̥ʰṅn´,bərat,ɡɔ.dʱuɹ,ˈnɛɦeːz,,o̞mo̞i,nak˥,luʁ,tʲɪˈʐolɨj,pɨ.ˈza.ðu,,ˈhɛ.vi,ˈtɛʒɔk,,,,d̪ruŋd̪,tʊŋː,smaks,,,ˈθuŋkʏr,,,
wide,viːd,,,mbɔli,ˈʃɪrokiː,,,kwaːŋ˥˧,t͡ɕɛ̀,,,,ɵrɡəŋ,,waː.siʕ,ˈl̠ʲahənˠ,,,bʀeːt,ˈpɹaijʊɹ,ˈɬədan,,,vaːˈsiː,,bʀaɪ̯t,ˈlarɡo,,zəwŋ͡m˧˨ʔ,,,ʃeˈrɔkei̯,,ˈkʲiŋ,,pʰärtʰɔ,,,,kwaːŋ˥˩.jaj˨˩,,pʰärtʰɛ,,,,,ˈaɲ.tʃo,lɑjn,,,,,,ʂɨˈrokʲi,,,,,,ʂɛˈrɔ.kʲi,nʌ̹ɭt͈a̠,t͡ʃɔː.ɽɑː,ˈlaː.tus,,ʃiˈrɔk,larɡ,,,,,mäʃri,ˈɟ͡ʝɛ.ɾə,,l̥h,,bɔ.ɦɔl,ˈseːlɛʃ,,,,laʁʒ,ʂɨˈrokʲɪj,ˈlaɾ.ɡu,,waɪd,,,ma.ˈla.pad,,,,plats,,,ˈpreiːðʏr,,,
guts,,,,tʃʼu,,,,,ʔù,,,,,,,ˈɪn̠ʲiː,,,,,,,,,,ˈaɪ̯nɡəvaɪ̯də,,,,,,,,,,nätsʼlävi,,,,,,tʃʼi,,,,,,pʰoɾoˈtikʰ,,,,,,,,,,,,,,,,,,,,,,,tʃʼintʃʼil,,,,,,ˈbeːl,,,,ɑ̃t.ʁaj,kʲɪʂˈkʲi,,,ɡʌts,ˈt͡srɛva,,,,,,,,,,,,
cold,kal,,,qʼini,ˈstudɛniː,sallag,ki:ɾna,,ʔé,,,taɳidʒe,,taɳuppə,baː.rid,fˠuəɾˠ,kœut,tukud,kaːl,,oːɨ̯r,,pañil,soˈɰuk,tʃappa,kalt,ˈfreddo,,lajŋ̟˧˨ʔ,,ˈʃaltɐs,xɔˈlɔdnei̯,soˈjuχ,hɯ̞.ˈwɯ̞q,,tsivi,tʃalla,sæɾd,,jen˧,,ʔini,fuəɾ,pani,koɾuʋə,,ˈfɾio,ˈsɑrə,,,kɑu̯t,,,xaˈɫodnɨ,,koɾʋə,taɳɳige,kɔl,,ˈʑim.nɨ,t͡ɕʰa̠n,ʈʰən.ɖɑː,ˈal.ɡi.dus,,stuˈdɛn,ˈret͡ʃe,koɾti,salla:,,panija:,mətsχi,,ˈfɾət,rṅā,səd͡ʒoʔ,,ˈhidɛɡ,,t͡sɨᵝme̞ta̠i,,fʁwɑ,xɐˈlodnɨj,ˈfɾi.u,*ɡraŋ.mo,kəʊld,,talindʒadə,laˈmiɡ,səjlijə,soɻ,,āūksts,ˈkɪːsɐħ,,ˈkʰaltʏr,ˈfɾiʊ,jakʰ,kuɭiɾtʃi
many,,aˈsax,,didɔ,ˈmnoɦo,dʒa:sta,bagge,,mjá,baɲak,,tumba,,pala,ka.θiːr,əˈl̪ˠɑːnˠ,bajə,tukud,,ˈmɛŋkʊɹ,,,tūk,tʃɔk,ba:ɾi,ˈfiːlə,,,ɲiaw³³,,dɐuɡ,bɐˈɦɑtɔ,t͡ʃɔχ,kʏp,ˈɡɛlɛk,bɛvri,nānā,zɪˈjɒːd,ʋɛˈlìːkɔ,,,brɛli,ˈiməɣ,peɾe,appaɾa,,ˈmut͡ʃos,ʃɑt,,,veːl,,,,,i:dʒo:ɖ,halaʋu,manɡə,,ˈvʲɛ.lɛ,ˈma̠ːnɯn,bɔˈhɔt̪,ˈmul.tiː,bɐ.ɦú,,mult͡sʲ,uppu:m,tʃa:la,,di:kehi,mäsærd,,ˈmolt,c̥roen,baɲak,,ˈʃok,,,,bo.ku,ˈmnoɡə,ˈmũj̃.tuʃ,,ˈmɛni,ˈmnɔɡu,dumba,,kajɾijə,ɖer,,dāūdz,,,ˈmarkʏr,,ba:z,palə
push,²ɧʉːta,,ˈtɫat͡ʃic,mɛkʼäntʃʼinu,ˈtlat͡ʃɪt,,,,tʊ́ɴ,doroŋ,,,tuɮxəx,,,,,,,,,,,itmec,,ˈdʁʏkŋ̩,ˈspindʒere,,so˧˧,,,,,,,mitsʼɛvä,,,,dan˧,ˈtrjoːə,ɛkʼɔkʼinä,,,,,empuˈxaɾ,həˈɾɛl,,,ˈdyu̯ə(n),,,,,,,skɔbɘ,,pxat͡ɕ,miɭda̠,d̪ʱə.keːl.nɑː,ˈpel.loː,,,,,,,,likʰχɛ,,əmˈpə.ɲə,ruñ,to.laʔ,,ˈtol,,,,pu.se,tɐlˈkatʲ,ẽ.pu.ˈʁaɾ,,pʊʃ,,,,,,,,,ˈtyøntæːˣ,ˈr̥ɪnta,,,
child,bɑːrn,kɪnd,ˈɟi̯e.ca,bɛrɛ,ˈɟiːcɛ,,,,kʰəlé,,,,,,tˁifl,ˈpˠɑːʃtʲə,kənt,,kant,ˈpatn,ˈplɛntɨ̞n,ˈmaːnnaː,,t͡ʃo̞ˈd͡ʒuk,,kɪnt,bamˈbi.no,uḿ̩ntwaːna,ʔɗɨə˧˦ ʔɓɛ˧˦,ˈje.led,ˈvɐɪ̯ˑkɐs̪,deˈtɪnɐ,uˈʃɑχ,bɑˈɫɑ,ˈzɑːɾok,bävʃvi,,bætːʃʰe,ɔˈtrɔ́k,luːk̚˥˩,bɛːn,bäʁänä,,,,,ˈixo,jɛɾɛˈχɑ,,peˈði,kɪnt,,,,kɵdæk,,,barn,ˈbɑlɑ,ˈd͡ʑɛt͡s.kɔ,ʌ̹ɾini,bət͡ʃ.t͡ʃɑː,ˈfiː.li.us,ɕí.ɕu,dɛˈtɛ,fiw,,,,,bɛpʰʃw,,ˈnən,kūn,anaʔ,sɔli,ˈɟɛrɛk,,ko̞do̞mo̞,lɯk˧,ɑ̃.fɑ̃,rʲɪˈbʲɵnək,ˈfi.ʎu,,t͡ʃaɪld,ˈdɛtɛ,,,,,bɑːrn,bæ̀ːɾns,,,ˈpartn,ˈne.na,,
egg,ɛɡː,,ˈvajt͡sɛ,mäkʰväli,ˈvɛjt͡sɛ,mi:ndʒ,bi:,kʰāi,ʔṵ,,,muʈʈe,,muʈʈa,,uː,ˈəiər,kaɾbə,e,ɛkː,uːɨ̯,ˈmonniː,tūk,jumuɾˈta,ketti,aɪ̯,ˈwɔ.vo,íːǃaːndá,t͡ɕɨŋ˧˦,,,,jumurˈtɑ,kʏˈkæj,,kʼvɛrtsχi,guɖɖu,t̪ʰoχm,ˈjàːjtsɛ,kʰaj˨˩,aːi̯,märkʰväli,u,sanku,moʈʈe,,ˈwebo,d͡zu,ɖim,ta.oˈa,ɛi̯,tala,au,ˈjajka,tuxm,mooʈə,moʈʈe,ɛːɡ,,ˈja.jɔ,ta̠ɭɡja̠ɭ,ən.ɖɑː,ˈoː.wum,,jəiˈt͡sɛ,ow,muʈʈe,gaɾbam,,ɾaɾapa:ndu,ləgrɛ,,ˈɔw,s′ut,təlo(r),kɔ.ni,ˈtojaːʃ,ˈd͡zi.ɽa,ta̠ma̠ɡo̞,kʲai˧˥,œf,(j)ɪjˈt͡so,ˈo.vu,*zɡoŋ.ŋa,ɛɡ,ˈjajt͡sɛ,muʈʈe,ʔitˈloɡ,mujɾgi,həɡəi,ɛɡː,uōla,ˈbɐjdɐ,,ˈɛkː,ˈɔ.βʊ,xuahae,muʈʈe
