word,bo,sk,sva,pl,la,ar,tg,ml,krl,fa,hi,en,za,is,uk,ps,sa,id,ta,tcy,ca,da,vi,af,yea,ms,ko,kru,lt,ja,ug,gv,gon,nn,de,nl,lb,az,te,ku,ro,pt,gdb,km,bg,vro,tl,br,et,hu,oc,hy,se,mt,kxv,vep,kfe,gl,ba,sv,bfq,xmf,ur,kfa,kff,kfb,mn,th,lo,my,pci,lv,it,fi,brh,fo,bn,be,ru,mk,cs,he,fr,liv,cy,ga,sq,gd,xub,ka,tr,ny,zu,sl,kn,es,el,vot,yi,fy,tcx,lzz,mjt,as
road,,ˈt͡sɛsta,ʃukʼw,ˈdrɔ.ɡa,ˈwi.a,tˁa.riːq,,ʋaɻi,ˈtie,,səɽək,ɹəʊd,lo˧,ˈvɛːɣʏr,dɔˈrɔɦɐ,wɑʈ,,,vaḻi,paɾvata,kə.rəˈte.ɾə,,ʔɗɨəŋ˨˩,pɑt,raste,d͡ʒalan,kiɭ,ɖahaɾe,ˈkælʲɐs,dau,,reːd̪,haɾɾi,,ˈʃtraːsə,baːn,,,ma:ɾgamu,,,iʃ.ˈtɾa.ðɐ,rasta,p̥ʰlūv,pɤt,ˈtːiː,,hɛ̃nd,ˈteː,ˈuːt,,t͡ʃɑnɑˈpɑɾ,,triːʔ,,ˈte,ta:ɾi,esˈtɾaða̝,jul,vɛːɡ,ta:ɾi,ʃärä,səɽək,ba:te,aɾɾi,daaɾ,,tʰa˨˩.non˩˩˦,,láɴ,pāv,tsɛʎʃ,ˈstrada,ˈtie,saɖak,ˈveːvʊɹ,ɾast̪a,,dɐˈroɡə,,ˈt͡sɛsta,,ʁut,ˈrie̞k,,ˈbˠoːhəɾˠ,ˈruɡə,,baʈʈi,gzä,jɔɫ,mˈse.(w)u,uḿ̩ɡwaːǃo,ˈtsèːsta,mārga,kaˈmino,ˈðromos,ˈteː,,,a:laɾ,gzä,pa:odu,bat
egg,*zɡoŋ.ŋa,ˈvajt͡sɛ,ləgrɛ,ˈja.jɔ,ˈoː.wum,,tuxm,muʈʈa,ˈmunɑ,t̪ʰoχm,ən.ɖɑː,ɛɡ,kʲai˧˥,ˈɛkː,,həɡəi,,,muʈʈe,ketti,ˈɔw,ɛːɡ,t͡ɕɨŋ˧˦,ˈəiər,muʈʈe,təlo(r),ta̠ɭɡja̠ɭ,bi:,,ta̠ma̠ɡo̞,,au,mi:ndʒ,ɛɡː,aɪ̯,ɛi̯,e,jumurˈtɑ,guɖɖu,,ow,ˈo.vu,kaɾbə,s′ut,jəiˈt͡sɛ,ˈmunɑ,ʔitˈloɡ,,ˈmunɑ,ˈtojaːʃ,,d͡zu,ˈmonniː,ˈbɐjdɐ,tala,ˈmunɑ,mooʈə,ˈɔ.βʊ,kʏˈkæj,ɛɡː,moʈʈe,märkʰväli,,muʈʈe,gaɾbam,sanku,,kʰaj˨˩,kʰāi,ʔṵ,tūk,uōla,ˈwɔ.vo,ˈmunɑ,xuahae,ɛkː,ɖim,ˈjajka,(j)ɪjˈt͡so,ˈjajt͡sɛ,ˈvɛjt͡sɛ,,œf,ˈmunɑː,uːɨ̯,uː,,u,mujɾgi,kʼvɛrtsχi,jumuɾˈta,ˈd͡zi.ɽa,íːǃaːndá,ˈjàːjtsɛ,moʈʈe,ˈwebo,ta.oˈa,ˈmunɑ,,aːi̯,muʈʈe,mäkʰväli,ɾaɾapa:ndu,kɔ.ni
fish,*ȵa,ˈriba,tsuz,ˈrɨ.ba,ˈpis.kis,ˈsamaka,mɔːhiː,mi:n,ˈkɑlɑ,mɒːhiː,mət͡ʃʰ.liː,ˈfɪʃ,pʲa˨˦,ˈfɪskʏr,ˈrɪbɐ,kab,mɐ́t̪.s̪jɐ,,mi:nə,mi:nə,ˈpeʃ,fesk,kaː˧˦,fəs,mi:nə,ikan,muɭk͈o̞ɡi,indʒo,,uwo,,jiːst,mi:n,,fɪʃ,vɪs,feʃ,,tʃe:pa,ˈmɑːsiː,ˈpeʃte,ˈpɐjʃɨ,mi:n,t̥rī,ˈribə,ˈkːɑlɑ,,,ˈkɑlɑ,ˈhɒl,,d͡zuk,ˈkuo̯lliː,,,ˈkɑlɑ,mi:nə,ˈpejʃe̝,bɑˈɫɯ̞q,fɪsk,mi:nə,tʃχɔmi,,mi:nə,ki:ke,guɖɖi,t͡saɢəs,plaː˧,pa᷅ː,ŋá,key,ziws,ˈpeʃːe,ˈkɑlɑ,matʃtʃi:,ˈfɪskʊɹ,mɑtʃʰ,ˈrɨba,ˈrɨbə,,ˈrɪba,daɡ,pwa.sɔ̃,ˈkɑlɑː,pəsˈɡɔdɨ̯n,iəsˠk,pɛʃk,,mi:nu,tʰɛvzi,bɑ.ˈɫɯk,ˈⁿsó.ᵐba,ínɬaːnzi,ˈrìːba,mi:nə,ˈpeθ,ˈp͡sari,ˈkɑlɑ,fɪʃ,fɪsk,mi:n,tʃχɔmi,mi:ndu,mas
play,,ˈɦrac,liʃmɛ,ɡrat͡ɕ,ˈluː.doː,,,,ˈkiʒɑtɑ,,kʰeːl.nɑː,pleɪ,,ˈleiːka,ˈɦrɑte,ˈlobe kawəl,,,,,ʒuˈɡa,lajə,t͡ɕəːj˧˧,,,,ˈno̞ːɭda̠,,ˈʒɐjsʲtʲɪ,a̠so̞bɯ̟ᵝ,,,,,ˈʃpiːlən,ˈspeːlə(n),,ojnɑˈmɑχ,,,,ʒu.ˈɣaɾ,,leṅ,iˈɡrajə,ˈmænkmæ,maɡ.la.ˈɾoʔ,,ˈmængimɑ,ˈjaːt͡sːik,,χɑˈʁɑl,,,,ˈvætæ,,,,,,mɛgämä,kʰeln̪aː,,,,,len˥˩,,sʰɔ̰,,,d͡ʒoˈkä.re,ˈleikːiæ,,,,,ɪˈɡratʲ,,ɦraːt,,ʒwe,ˈmængɨ,ˈχwaraɨ̯,ˈɪmʲəɾʲ,,,,däkʼvrä,,,,iˈɡraːti,,xuˈɡaɾ,,ˈmæntʃiæ,,,,gɛlätʃämu,,
say,,ˈɦɔvɔric,likʰwisg,ˈmu.vʲit͡ɕ,ˈdiː.koː,qaː.la,ɡuftæn,paɾajuga,ˈsɑnuo,ɡofˈt̪ʰæn,kɛːʱ.nɑː,seɪ,kaːŋ˥,ˈseiːja,,,ʋɐ́.d̪ɐ.t̪i,,tʃollə,paɳaɾa,ˈdi,,nɔj˧˦,sɛː,paɾe,,ˈma̠ːɾɦa̠da̠,bakʰna,sɐˈkʲiːtʲɪ,ipu,,,in,²sæɪɑ,zaːɡən,ˈzɛɣə(n),,,tʃeppu,,ˈzitʃe,di.ˈzeɾ,tukud,tʰā,ˈkazvəm,ˈytːlemæ,,,ˈytlemɑ,ˈmond,,ɑˈsɛl,,,,ˈsɑnudɑ,paidu,diˈθiɾ,,ˈsɛjːa,egəʋə,tʰkʰuälä,kɛɦna,annə,kella,bʰu:mi,xiɮəx,klaːw˨˩,waw˥˦,sʰò,en,satsîːt,ˈdi.re,ˈsɑnoɑ,pa:ning,siːja,ˈbɔla,ɣavaˈrɨt͡sʲ,ɡəvɐˈrʲitʲ,,r̝iːt͡st,,diʁ,ˈkiːt̪ɨ,,ˈabˠəɾʲ,θɛm,ˈapɪɾʲ,pə:ɭ,tʰkʰmä,søjlɛmɛc,,,ˈrɛtʃi,heɭu,deˈθiɾ,,ˈʝutɤlːɑː,ˈzɔ.ɡŋ̩,,a:ʋaɖə,ɔtʰkʰu,hauɖpo,
neck,,kr̩k,kʼintʃχ,ˈʂɨ.ja,ˈkol.lum,,ɡærdæn,kaɻutə,ˈkɑklɑ,ɡærdæn,,nɛk,ho˧˩,hauls,ˈʃɪjɐ,,ɡɽiː.ʋɑ́ː,,kaɭuttə,kekkilə,ˈkɔʎ,hals,ko˧˩,,bo:ɭe,lehe(r),mo̞k̚,kʰesir,ˈkä̌ːklɐs̪,kɯ̟ᵝbʲi,,,guɖunga,hɑls,hals,,,,meɖa,,ɡɨt,pɨʃ.ˈko.su,kanɖ,k,ˈʃijə,ˈkːɑːl,,,ˈkɑel,ˈɲɒk,,viz,,,,ˈkɑgl,kaɖate:l,pesˈkoθo̝,mu.ˈjɯ̞n,,katə,kʼisɛri,,bo:ɭe,meɖaka:ja,mak,xut͡su,kʰɔː˧,,lɛ̀bɪ́ɴ,tūk,,ˈkɔl.lo,ˈkɑulɑ,lex,,,,ˈʂɛjə,vrat,kr̩k,,ku,ˈkɑgːɨl,ɡʊðv,ˈmˠɪnɑːl,ˈcafə,,kp:ma:ɭi,kʼisɛri,,ˈkʰo.si,íntaːmo,ˈʋráːt,kuthige,ˈkweʎo,,ˈkɑglɑ,haldz,,maɾ,dʒinikʰi,asaɾdu,di.ŋi
long,,ˈdl̩ɦiː,dʒwɛdi,ˈdwu.ɡʲi,ˈlon.ɡus,tˁa.wiːl,,ni:nɖa,ˈpitkæ,,,ˈlɒŋ,,ˈlaŋkʏr,ˈdɔu̯ɦei̯,uʐd̪,,,nīṇṭa,uda,ʎuˈɲa,lanɡ,zaːj˨˩,,ni:ʈa,,ˈkiːɭda̠,diga:h,,na̠ɡa̠i,,,la:m,,laŋ(k),lɑŋ,laːŋ,uˈzun,poɖaʋu,ˈdɯɾeːʒ,luŋɡ,ˈlõ.ɡu,tukud,vaeṅ,ˈdɤlək,ˈpːikːkː,,,ˈpikː,ˈhosːuː,,jɛɾˈkɑɾ,,twiːl,,ˈpitkʲ,ni:tam,,ʊ̞.ˈðʊ̞n,lɔŋ,utta,gindzɛ,,uddə,poɖaʋuʈa:du,poɖa:m,,jaːw˧,,ʃè,tūk,,ˈlunɡo,ˈpitkæ,muɾgun,ˈlɛŋkʊɹ,,ˈdou̯ɣʲi,ˈdlʲinːɨj,,ˈdlou̯ɦiː,,lɔ̃,ˈpit̪kɑː,hiːr,ˈfˠɑd̪ˠə,,fad̪̊ə,uddu,grdzɛli,,,,ˈdɔ́ːwk,udda,ˈlarɡo,,ˈpitʃːæ,,,neɾti,gundzɛ,digaɖo,
flow,,ˈci̯ɛt͡sc,lizi,ˈpwɨ.nɔɲt͡ɕ,ˈflu.oː,,,,ˈvirːɑtɑ,,,fləʊ,,ˈrɛnːa,,,,,,,fluˈi,,t͡ɕaj˧˩,flui,,alo(r),,,ˈbʲeːk.tʲɪ,,,,,,ˈfliːsn̩,ˈvlujə(n),ˈflei̯sen,,,,,,,hūr,tɛˈkə,ˈjuːsːkːmɑ,,,ˈʋoːlɑmɑ,ˈfojik,,hoˈsɛl,,,,ˈjokstɑ,,,,,,ulä,,,,,,laj˩˩˦,,sí,,,fluˈire,ˈʋirːɑtɑ,,,,,tʲet͡ɕ,,tɛːt͡st,,ku.le,ˈjuːokʃɨ,,,,,,dinɛbä,,,,ˈtɛtʃi,,ˈflwiɾ,ˈre.o,ˈʝohsɑ,,,,ɔzimzilu,,bʊa
pull,,ˈci̯aɦnuc,libid,ˈt͡ɕɔŋ.ɡnɔɲt͡ɕ,ˈwel.loː,,,,ˈvetyæ,kʲeʃiːˈd̪æn,kʰĩː(ɳ).t͡ʃnɑː,pʊl,,ˈtraːɣa,tʲɐˈɦɑte,,,,,,tiˈɾa,trɛkə,kɛw˧˦,,,tareʔ,ˈk͈ɯːɭda̠,,,,,,,,ˈtsiːən,ˈtrɛkə(n),,t͡ʃækˈmæk,,,,pu.ˈʃa(ɹ),,dāñ,,ˈvitæmæ,,,ˈtɤmbɑmɑ,ˈhuːz,,kʰɑˈʃɛl,,,,ˈvedɑdɑ,,,,,,zindäpʰi,,,,,tʰatʰəx,dɯŋ˧,,sʰwɛ́,,,t̪iˈrare,ˈʋetæː,,,ˈʈana,t͡sʲaˈɣat͡sʲ,tʲɪˈnutʲ,,ˈtaːɦnou̯t,,ti.ʁe,ˈvie̞d̪ːɨ,,,,,,mɔkʰätʃvä,t͡ʃɛcˈmɛc,,,,,tiˈɾaɾ,,ˈtɤmpɑː,,,,ɔzdimu,,ta.na
white,*tkar.po,ˈbi̯ɛli,tʰɛtʰnɛ,ˈbʲa.wɨ,ˈal.bus,ʔab.jadˁ,,ʋeɭuppə,ˈvɑlgei,seˈfiːd̪,səfed̪,waɪt,haːu˨˦,ˈxʷiːtʏr,ˈbʲilei̯,spin,ɕʋɐj.t̪ɐ́,,veɭɭə,boldu,ˈblaŋk,,t͡ɕaŋ˧˦,vət,boltaji,puteh,çida̠,paɳɖɾu,ˈbaːltɐs,⟨siro1si⟩,ɑq,,tellag,kʋiːt,vaɪs,ʋɪt,væːɪ̯s,,vella,ˈspiː,alb,ˈbɾɐ̃.ku,tukud,s,bʲal,ˈvɑlkɤ,ˈpúˈtɪ,,ˈʋɑlge,ˈfɛɦeːr,,əspiˈtɑk,ˈvie̯lːkah(t),ˈɐbjɐt,pandi,ˈvɑuged,ʋellə,ˈbɾaŋkʊ,ɑq,,ʋeɭɭe,tʃɛ,,boltadə,telup,telluɖi,t͡sʰaɢaŋ,kʰaːw˩˩˦,,pʰjù,vil,bālts,ˈbjaŋko,ˈʋɑlkoinen,pi:un,ˈkvʊiːjtʊɹ,ʃad̪a,ˈbʲeɫɨ,ˈbʲelɨj,,ˈbiːliː,,blɑ̃,ˈvɑːld̪ɑ,ɡwɨ̞n,bˠɑːn̪ˠ,baːɾð,kʲaɫ̪,bəɭɭu,tʰɛtʰri,ɑk,,m̩ɬôːpʰe,ˈbéːw,biɭi,ˈblanko,ˈaspro̞s,ˈvɑlkeɑ,vajs,vit,pelti,χtʃɛ,sada:,bɔ.ɡa
