word,krl,sk,yi,lo,et,kru,ba,kff,lt,tg,pci,liv,bg,vep,el,ja,tr,za,nl,ta,cy,xub,lv,te,as,fy,hy,be,se,xmf,uk,oc,pl,sva,tcy,kxv,tl,tcx,fi,gd,en,id,la,hu,mk,zu,fr,sl,brh,lb,vot,he,kfe,sv,vro,pt,de,kfa,hi,ar,mn,kn,gl,br,kfb,th,af,my,bn,ml,ru,km,mt,ms,ku,fo,ca,yea,lzz,bfq,is,mjt,ug,ko,fa,ny,es,gv,ps,nn,cs,az,sa,ur,da,it,bo,gon,vi,ga,ro,ka,sq,gdb
heart,ˈsyvæin,sr̩tsɛ,,tɕai˩˨,ˈsydɑ,buka,jʏ̞.ˈræk,guɳɖeka:ja,ʃʲɪrʲˈdʲɪs,dil,tūk,ˈsid̪ɑːm,sərˈt͡sɛ,ˈsydæin,karˈðʝa,ɕĩnd͡zo̞ː,jyˈɾɛc,θim˨˦,ɦɑrt,idajam,ˈkalɔn,jaddi,sîɾts,hɾudajamu,dil,hɛt,siɾt,ˈsert͡sa,ˈvaːjːpmuː,guri,ˈsɛrt͡se,kɔr,ˈsɛr.t͡sɛ,gwi,mannə,,,manasə,ˈsydæn,,hɑːt,d͡ʒan.tʊŋ,kor,ˈsiːv,ˈsr̩t͡sɛ,ínɬizíːjo,kœʁ,sərˈtséː,ust,,ˈsyæ,,nendʒu,ˈjɛrˌta,ˈsːyæ,ko.ɾa.ˈsɐ̃w̃,hɛʁts,hrudaja,d̪ɪl,qalb,,hrudaya,,ˈkalɔ̃n,gunɖe,hua̯˩˩˦.t͡ɕaj˧,,n̥əlóʊɴ,,hɾudajam,ˈsʲert͡sə,peḥṭūṅ,ˈʔɐlp,d͡ʒantoŋ,,ˈjaɹ̥ʈa,ˈkɔr,nendʒi,guri,,ˈçar̥ta,hugli:,,,del,mˈtí.ma,koɾaˈθon,kriː,zɻə,²jɑrtə,ˈsr̩t͡sɛ,ɡælb,ɦŕ̩.d̪ɐ.jɐ,,jɛrtə,ˈkwɔːre,*zȵiŋ,guɳɖe,tim˧˧,kɾˠiː,ˈinimə,guli,ˈzɛməɾ,dʒibe
die,ˈkuolːɑ,ˈumri̯ɛc,,taːj˩˧,ˈsuremɑ,kʰena,,ɖollatam,ˈmʲɪrʲ.tʲɪ,murdæn,cay,ˈkuːolɨ,oˈmiɾəm,ˈkoldɑ,peˈθeno,ɕinɯ̟ᵝ,œlˈmɛc,taːi˨˦,ˈdoːtxaːn,tʃa:,,maɾdo:g,mīɾt,tʃatʃtʃipo:ʋu,mɔɹ,,mɛrˈnɛl,,ˈjaːpmiːh(t),ʁurä,,,uˈmʲɛ.rat͡ɕ,dägrä,sajjaɾa,,,keɖuoisi,ˈkuolːɑ,,daɪ,,ˈmo.ri.or,ˈmɛkhɒl,,fá,mu.ʁiʁ,,kahing,,ˈkoːlːɑ,,ta:ʋə,,ˈkːuːlmɑ,mu.ˈʁeɾ,ˈʃtɛʁbən,tʃ:ɭa,məɾ.nɑː,ˈmaːta,,sa:ji,,,tigte:n,taːj˧,,θè,,maɾikkuga,ʊmʲɪˈratʲ,tāy,mɪːt,mati,,,muˈɾi,tʃa:ɭa,ʁurä,sa:ʋadə,ˈteiːja,keəa:na:keəida:h,,t͡ɕuk̚t͈a̠,moɾˈd̪æn,,,,,,ˈumr̝iːt,œlˈmæk,mɐ́.ɽɐ.t̪i,mərna,dø,moˈrire,,ha:,t͡ɕet̚˧˦,,muˈri,sikʼvdili,vdɛs,tukud
forest,ˈmetʃːɑ,ˈlɛs,,,ˈmets,,urˈmɑn,,ˈmɪʂ.kɐs,beʃæ,,ˈmɨt̪sɑː,ɡoˈra,ˈmets,ˈðasɔs,mo̞ɾʲi,,ɗoŋ˨˦ fai˦˨,ʋɑu̯t,,ˈkɔɨ̯dwɪɡ,,,,ɦa.bi,,ɑnˈtɑr,lʲes,,tʼqʼä,,,las,tsχɛkʼ,,,,,ˈmetsæ,ˈkʰɤʎə,ˈfɒɹɪst,hu.tan,ˈsil.wa,ˈɛrdøː,ˈʃuma,îːɬâːtʰi,fɔ.ʁɛ,ˈɡɔ́st,,beʃ,ˈmetsːæ,ˈja(ʕ)aʁ,,skuːɡ,ˈmɤtːsː,floˈɾɛs.ta,valt,,,ɣaː.ba,,,ˈbɔske,ˈkwɑːt,,paː˨˩,bɔs,tɔ́,,,lʲes,b̥rai,,hutan,,,ˈbɔsk,,gɛrmä,,ˈskouːʏr,,,sʰup̚,beːˈʃæ,,ˈboske,kiːlʲ,d͡zəŋɡəl,,lɛs,,ʋɐ́.n̪ɐ,,,,*ɕiŋ.naks,,zɨŋ˨˩,kiːlʲ,pə.ˈdu.ɾe,tʼqʼɛ,pyɫ,
sun,ˈpæivæne,ˈsɫ̩ŋkɔ,zʊn,taː˩˨ wen˦˥,ˈpæike,bi:ɖi,qʊ̞ˈjɑʂ,poɖudu,ˈsɑuleː,ɔftɔb,tūk,ˈpæːvɑ,ˈslɤntsɛ,ˈpæivæine,ˈi.ʎos,,ɟyˈneʃ,taŋ˨˦ ŋon˧˩,,su:ɾjan,haɨ̯l,pottə,sāūle,su:ɾjuɖu,be.li,,ɑˈɾɛv,ˈsont͡sa,ˈpea̯jvvaːʃ,bʒä,ˈsɔnt͡sɛ,suˈlel,ˈswɔɲ.t͡sɛ,miʒ,su:ɾje,ʋeda,,su:ɾijan,ˈɑurinko,,sʌn,,,ˈnɒp,ˈsɔnt͡sɛ,íːlaːnɡa,sɔ.lɛj,ˈsóːntsɛ,de,zon,ˈpæivikːo,,su:rijan,suːl,ˈpːæiv,ˈsɔɫ,ˈzɔnə,su:ɾja,,ʃams,,su:rja,s̺ol,,suɾija,dua̯ŋ˧.ʔaː˧.tʰit̚˦˥,,nè,,su:ɾjan,ˈsont͡sə,t̥ʰṅai,ʃɛmʃ,matəhari,,sɔuːl,ˈsɔl,tʃu:rja,mʒɔrä,ottə,souːl,be:ɾdu,,he̞,,ˈd͡zú.w⁽ᵝ⁾a,ˈsol,ɡriːn,lmar,suːl,ˈslunt͡sɛ,ɡʲyˈnæʃ,s̪úːɽ.jɐ,,soːl,ˈso.le,*ȵi.ma,poɾə,mat̚˧˨ʔ t͡ɕəːj˨˩,ɟɾʲiənˠ,ˈso̯are,mzɛ,,ʋele
mountain,ˈmægi,ˈɦɔra,,pʰu᷄ː,ˈmægi,paɾta,tɑw,gubal,ˈka͡l.nɐs,,tūk,ˈmæg,pləniˈna,ˈmægi,ˈo̞ro̞s,ja̠ma̠,dɑː,pʲa˨˦,bɛrx,malai,ˈmənɨ̞ð,bəʈʈə,kâlns,konɖa,,bɛrx,lɛr,,ˈvaːrriː,gɔlä,ɦɔˈrɑ,,ˈɡu.ra,läχw,da:ɾi,,,tiʈʈə,ˈʋuori,,ˈmaʊntɪn,,mons,ˈhɛɟ,,íntaːɓa,mɔ̃.taɲ,ɡɔ̀ːra,maʃ,biə̯χ,ˈmætʃi,haʁ,ʋe:ʈume,bɛrj,ˈmæki,mõ.ˈtɐ.ɲɐ,bɛrk,kundə,pə.ɦɑːɽ,d͡ʒa.bal,ʊːɮ,beʈʈa,monˈtaɲa̝,,danɖime:ʈ,pʰuː˧,,tàʊɴ,pɔrbɔt,mala,ɡɐˈra,b̥ʰnṃ,,ɡunoŋ,ˈt͡ʃiːjɑː,fjatl,,kundə,gɔlä,male,fjatl,be:ɖo paha:ɖi,tɑʁ,sʰa̠n,kuːh,ˈpʰi.ɽi,monˈtaɲa,slʲuː,ɣar,fjɛlː,ˈɦora,,pɐ́ɽ.ʋɐ.t̪ɐ,pəhɑːɽ,bjɛrv,monˈtaɲɲa,*ri,meʈʈa,nuj˧˦,ʃlʲiəvˠ,ˈmuntɛ,mtʰä,mal,kappe
dull,ˈtyltʃːæ,ˈtupiː,,,ˈnyri,,,,,,,ˈt̪ɨːlzɑ,,ˈtylts,,,køɾ,,bɔt,,,,,,,,butʰ,tuˈpɨ,,dʒärguliä,,,ˈtɛm.pɨ,luwrɛ,,,,,ˈtylsæ,,dʌl,,ˈhe.bes,,,,e.mu.se,ˈtɔ́p,,,ˈtylpːæ,,,,ˈnyhr,ˈsɛ.ɣu,ʃtʊm(p)f,,,ka.liːl,,,,,,,,tóʊɴ,,,tʊˈpoj,,,,,,,,dʒängulä,,,,,mudida̠,,,ˈromo,,,,ˈtʊpiː,,,,sløːv,,,,kun˨˩,,toˈt͡ʃit,blägvi,,
nose,ˈnenæ,,,daŋ˩˧,ˈninɑ,mu:ji,tɑˈnɑw,mosso:ɾ,,biˈniː,muvãḍ,ˈnɑnɑː,nɔs,ˈnenɑ,ˈmiti,,buˈɾun,,nøːs,mu:kə,truːɨ̯n,mu:kkə,,mukku,nak,,kʰitʰ,,,tʃχvindi,,,nɔs,nɛpʰχwnä,mu:gu,mungeli,ʔi.ˈlɔŋ,mittu:p,ˈnenæ,s̪t̪ɾɔːn,nəʊz,,,ˈorː,,íːkʰaːla,ne,ˈnóːs,ba:mus,nuəs,ˈnenæ,ʔaf,mu:kə,ˈnɛːsˌa,ˈnɤnɑ,nɐˈɾiʃ,ˈnaːzə,mu:kkə,naːk,ʔanf,,mu:gə,naˈɾiθ,ˈfriː,mu:kk,t͡ɕa˨˩.muːk̚˨˩,nɪøs,n̥əkʰáʊɴ,,mu:kə,nos,c̥rmuḥ,,hidoŋ,,nøːs,ˈnas,mu:kkə,tʃχindi,mu:kə,nɛːv,muso:,,kʰo̞,,ˈᵐpʰu.no,naˈɾiθ,st̪rudʲnʲ,,,nos,buˈrun,,,ˈnɛːsə,ˈna.zo,*zna,mosoɾ,muj˦ˀ˥,sˠɾˠoːnˠ,,tsχviri,,mungan
sew,ˈomːelːɑ,,,,ˈɤmblemɑ,,,,ˈsʲuːtʲɪ,,,ˈumblɨ,ˈʃijə,ˈombeltɑ,,nupu,,,ˈnaːjə(n),,,,ʃūːt,,xia,,kɑˈɾɛl,ʂɨt͡sʲ,,tʃʼälä,,,ʂɨt͡ɕ,liʃχbi,,,,,ˈomːelːɑ,,səʊ,,ˈsu.oː,ˈvɒrː,,,kudʁ,,,ˈbitsen,ˈɤmːɤɑ,taˈfar,,,ˈumplɤmɑ,,ˈnɛːən,,,xajtˁ,,,,,,jep̚˦˥,,t͡ɕʰoʊʔ,,,ʂɨtʲ,,,,,,kuˈzi,,ɔtʃʼu,,ˈsøyːma,,,ˈkiːp̚t͈a̠,,,ko.ˈser,,,,,,,,syː,kuˈtʃire,,,xəw˧˧,,,kʼɛrvä,,
cloud,ˈpilvi,,,mêːk,ˈpilʋ,bada:li,bʊ̞ˈɫʊ̞t,mabbu,,,malgur,ˈpiːlɑ,,ˈpilvʲ,ˈsinɛfɔ,⟨kumo1⟩,buˈɫ̩ut,fɯ˥,ʋɔlk,me:gam,ˈkʊmʊl,mo:ɖə,,me:gʰamu,daɔɹ,,ɑmp,ˈxmara,ˈpalːva,munäpʰä,,,ˈxmu.ra,mɛrɛ,mo:ɖa,ha:gu,,me:gam,ˈpilʋi,ɲiaɫ̪,klaʊd,,,ˈfɛlɦøː,,íːfu,ny.aʒ,ɔˈbláːk,dʒammaɾ,ˈvolək,ˈpilvi,(ʕ)aˈnan,me:gam,,ˈpːilv,ˈnu.vɐj̃,ˈvɔlkə,mo:ɖa,meːɡʱ,sa.ħaː.bah,,mēgha,,ˈku.mul,a:bar,meːk̚˥˩,vɔlk,tèɪɴ,,mekʰam,ˈobləkə,bbk,ˈsħaːbɐ,a.wan,,skʊt͡ʃː,,mo:ɖa,pʼulä,mandʒu,sciː,badli:,,kuɾɯm,(ʔ)æbɾ,mˈta.ᵐbo,,,,ʃyː,mrak,,mɐj.ɡʱɐ́,meːɡʱ,,ˈnu.vo.la,*sprin.pa,mabbu,məj˧˧,ˈsˠkamˠəl̪ˠ,nor,ʁrubɛli,,tukud
dust,ˈpøly,,,,ˈtolm,,sɑŋ,,,,,ˈpɨrm,,ˈpøly,,,toz,,,,ɬuːχ,,,,dʱu.li,,pʰoˈʃi,pɨɫ,ˈkavːja,tʼvɛri,,,kuʂ,pʼisw,,,,,ˈpøly,,dʌst,,ˈpul.wis,ˈpor,,úːtʰuːli,pu.sjɛʁ,ˈpráːx,,ʃtəps,ˈtolmu,,,dam,ˈtːolm,ˈpɔ,ʃtaʊ̯p,,d̪ʱuːl,ɣu.baːr,,,pɔ,,,fun˨˩,stɔf,pʰòʊɴ,,,pɨlʲ,dʰūlī,,haboʔ,,,ˈpols,,mtʼvɛri,,rɪːk,,,mʌ̹nd͡ʑi,,ˈfu.ᵐbí,ˈpol.bo,dʒaun,,,,toz,d̪ʱuː.l̪i,d̪ʱuːl,støːv,ˈpol.ve.re,*tʰal.ba,,ʔɓuj˧˨ʔ,dʲanˠəx,,mtʼvɛri,,
