word,zu,xub,hy,ar,yea,ml,mk,es,gd,ka,yi,ny,kxv,tg,sv,kff,de,th,ro,cs,ru,za,lt,bfq,hi,gv,cy,te,kfe,liv,he,pt,pl,bg,ur,gdb,vro,hu,ca,brh,mjt,ko,my,ug,ga,sq,bn,lb,ku,kfa,ja,gl,nl,nn,ta,vot,tcy,tr,az,ms,en,br,tcx,et,km,is,as,ps,vep,be,fa,kfb,pci,uk,xmf,sva,sk,fr,fo,el,id,af,oc,krl,vi,la,bo,kru,tl,kn,gon,lo,da,mt,sl,lv,ba,fy,fi,se,mn,lzz,sa,it
kill,,kenga:ɭ,spɑˈnɛl,qa.ta.la,kollə,kolluga,ˈubiva,maˈtaɾ,maɾav,kʼvlä,ˈtɛjtn̩,,,kuʃtæn,ˈdøːda,aʋaka:,ˈtøːtən,kʰaː˥˩,omoˈrɨ,ˈzabiːt,ʊbʲɪˈvatʲ,,,koppə,mɑːɾ‿ɖɑːl.nɑː,,ɬaːð,tʃampu,ta:ʋiɾ,ˈt̪ɑpːɨ,,ma.ˈta(ʁ),zaˈbʲi.jat͡ɕ,oˈbivəm,marna,tukud,ˈtːɑpːmɑ,ˈøl,məˈta,kasfing,badʒpo,t͡ɕuɡida̠,θaʔ,,ˈmˠaɾˠə,,,,,kollə,ko̞ɾo̞sɨᵝ,,ˈdoːdə(n),,kollə,ˈtɑpːɑː,keɾijaɾa,,œldyrˈmæk,məmbunoh,kɪl,,keɖukisti,ˈtɑpmɑ,sm̥lāp´,ˈtrɛːpa,,,ˈriktɑ,,kʰoʃˈt̪ʰæn,alangʈa:n,tūk,,ʔviluä,lidgæri,ˈzabic,ty.e,,skoˈtono,məmbunʊh,,,ˈtɑpːuɑ,ziət̚˧˦,ˈok.ki.doː,*ksot,eɖabna,,kollu,haʋka,kʰaː˨˩,,ˈʔaːtɛl,uˈbìːti,nâːvɛ̂ːt,,,ˈtɑpːɑː,ˈkodːdiːh(t),,ɔqʼvilu,ɦɐ́n̪.t̪i,utˈt͡ʃi.de.re
come,za,ba:ɾ,ɡɑl,d͡ʒaː.ʔa,ba:,ʋaɾuga,,beˈniɾ,hikʲ,mɔsvlä,ˈkʊmən,,,ɔːmædæn,ˈkɔmːa,ʋa,ˈkɔmən,maː˧,veˈni,ˈpr̝̊ɪxaːzɛt,prʲɪxɐˈdʲitʲ,tau˥,ɐˈtʲɛjːtʲɪ,pappa,ɑːn̪ɑː,,doːd,ʋatʃtʃu,bʰulo:gam,ˈt̪uːld̪ɑ,,ˈviɾ,pʂɨˈxɔ.d͡ʑit͡ɕ,,an̪a,ʋa,ˈtːulɤmɑ,ˈjøn,vəˈni,banning,baɾəa:,o̞da̠,là,,t̪ˠaɾˠ,,,,ˈhɑːtɯn,ba:,kɯ̟ᵝɾɯ̟ᵝ,,ˈkoːmə(n),,ʋa:,ˈtulɤɑ,baɾaɾa,ɡælˈméc,,dataŋ,kʌm,,pa:ɾti,ˈtulemɑ,mk,ˈkʰɔːma,aʱ,rɑˈt̪ləl,ˈtuldɑ,,ɒːmæˈd̪æn,ʋa,ver,,mɔulä,liqʰɛd,,və.niʁ,,ˈeɾxome,da.taŋ,kɔm,,ˈtulːɑ,laːj˧˨ʔ,ˈwe.ni.oː,*joŋ,baɾna,pu.mun.ˈta,baru,ʋa,maː˦˥,kɔmə,,ˈprìːti,nāːkt,,,ˈtulːɑ,,irəx,mɔlvä,,veˈnire
some,,,,,,,,,,zɔgi,,,,,ˈnoːˌ(ɡ)ra,,,baːŋ˧,,ˈɲɛkolɪk,nʲɪˈmnoɡə,,,,t̪ʰoɽaː,,,,,ˈmuːnd̪ɑ,,al.ˈɡũʃ,ˈtrɔ.xɛ,,,,ˈmɤni,,,,,mjʌ̹t̚,tət͡ɕʰo̰,,ɾˠəɪn̠ʲtʲ,,,,,,,,ʋɑt,,,ˈmɤni,,,,,sʌm,,,ˈmɤni,,,,,ˈerɑz,,,,,ˈkilʲka,nämtʰinɛ,ɛrχi,ˈɲi̯ɛkɔʎkɔ,dy,,,,,,ˈmonies,mot̚˧˨ʔ ʔit̚˧˦,,,,,,,,noən,,,,,,ˈjokin,,,bäzi,,
fingernail,úːziːpʰo,,jɛˈʁunɡ,ðˁufr,,,nɔkt,ˈu.ɲa,,pʰrtʃχili,,kʰáˈɗa.ɓo,,nɔːxun,,,ˈfɪŋɐnaːɡl̩,lep̚˦˥.mɯː˧,,,ˈnoɡətʲ,,,,,,,,,ˈkiːɲt̪ʃ,,ˈu.ɲɐ,pazˈnɔ.kʲɛt͡ɕ,ˈnɔkət,,,ˈkːɨːtsː,ˈkørøm,ˈuŋ.ɡlə,,,sʰo̞ntʰo̞p̚,lɛʔθɛ́,,,,nɔːkʰ,ˈfaŋeʀˌnoːl,,,t͡sɨᵝme̞,,,,,ˈtʃynsi,,,dɯrˈnɑχ,kuku,ˈfɪŋɡɚˌneɪl,,,ˈkiːs,,nœkl,,,ˈkynzʲ,paˈznoɣat͡sʲ,nɒːxon,,,,birtsχä,tsχä,ˈɲɛxt,ɔ̃ɡl,,ˈniçi,,,,ˈkynsi,mawŋ͡m˧˦,ˈun.ɡʷis,,,,,,,najl,,ˈnóːxt,,tɯ̞rˈnɑq,,ˈkynsi,,xʊms,butsχä,n̪ɐ.kʰɐ́,ˈun.ɡja
three,,,jɛˈɾɛkʰ,θa.laː.θa,,,,tɾes,,sämi,dʁaj,,,,treː,,dʁaɪ̯,saːm˩˩˦,trej,tr̝ɪ,trʲi,θaːm˨˦,,,t̪in,t̪riː,triː,,,ˈkuolm,,ˈtɾeʃ,tʂɨ,,,,ˈkːolm,ˈhaːrom,ˈtɾəs,,,sʰe̞ːt̚,θóʊɴ,yt͡ʃ,tʲɾʲiː,tɾɛ,,dʀæi̯,,,*/sam,,dri,,,ˈkɤlmɤd,,,ʏtʃ,tiɡə,θɹiː,,,ˈkolm,pī,θriːr,tini,d̪re,ˈkuːme,,,,,trɪ,sumi,sɛmi,ˈtri,tʁwɑ,trʊdʒɪr,ˈtri.a,ti.ɡa,,tres,ˈkolme,ʔɓaː˧˧,treːs,*ksum,,tatˈlɔ,,,saːm˩˧,,,ˈtríːjɛ,trîːs,ʏ̞s,,ˈkolme,ˈkolːpma,ɢʊrəw,sum,t̪ɽí,tre
meat,íɲaːma,əɾsi,mis,laħm,iɾatʃi,iɾatʃi,,ˈkarne,,χɔrtsi,flɛɪʃ,ˈɲa.ma,,ɡɵːʃt,ɕœtː,angi:,flaɪ̯ʃ,nɯa̯˦˥,ˈkarne,ˈmaso,ˈmʲasə,no˧,,pa:ɖə,ɡoːʃt̪,feːlʲ,kiːɡ,ma:msamu,podu,ˈle̞jɑː,bɔˈsɔr,ˈkaɻ.ne,ˈmʲɛ̃.sɔ,mɛˈsɔ,,tukud,ˈlihɑ,ˈhuːʃ,ˈkaɾn,su:,ma:kɖu,ko̞ɡi,ʔəθá,,fʲoːlʲ,miʃ,maŋʃo,fleːʃ,,eɾatʃi,ɕiɕi,,vleːs,çøːt,iṟaicci,ˈlihɑ,ma:sa,ɛt,,daɡeŋ,miːt,,pi:t,ˈlihɑ,sāc´,kʰjœːt,maŋxɔ,ɣwaˈ.ʂa,ˈlihɑ,ˈmʲasa,ɡoːʃt,muɾija,tūk,ˈmjɑsɔ,χɔrtsi,lɛʁw,ˈmæso,vjɑ̃d,t͡ʃʰøːʰt,ˈkre̞as,,fləis,,ˈlihɑ,tʰit̚˧˨ʔ,ˈka.roː,*ɕa,ahɖa:,,bāḍu,haʋʋi,,,,mɛˈsóː,ɡaʎa,it,flai̯s,ˈlihɑ,ˈpie̯rːkuː,max,χɔrtsi,mɑ̃ː.s̪ɐ́,ˈkar.ne
round,,bəjnsakɾangu:də,,,uɾuʈu,vaṭṭa,,reˈdondo,kʰruɪɲ,mrgväli,,,,,,guɳɖɾa:n,ʀʊnt,,roˈtund,ˈkulatiː,ˈkruɡlɨj,,,,,,krʊn,guɳɖɾani,ʋaʈam,ˈimːɨr,,ʁɨ.ˈdõ.du,ɔˈkrɔŋ.ɡwɨ,,,tukud,ˈtːsːɤːrikː,ˈkɛrɛk,roˈdo,go:l peɾi,guɖme,tuŋɡɯɭda̠,wáɪɴ,,kɾˠiːnʲ,,,,,uɾuʈa,,reˈðondo̝,rɔnt,,ʋaʈʈam,ˈpulskɤɑ,uɾuʈə,,,,ˈɹaʊnd,,uʈʈi,ˈymɑr,,,,ɡərd,ˈkehker,ˈkruɣɫɨ,,bubbaɾi,tūk,,rgväli,kʼurpʼi,,ʁɔ̃,,,,,,ˈpyøryɑ,swɛ˧˧,roˈtun.dus,,guʈiɳɖa,,baṭṭa,guɳɖɾal,,,,otˈkròːɡəw,,tʏ.ŋæˈræk,,ˈpyøreæ,,,mɔrgväli,,roˈtondo
snake,íɲôːɠa,,ɔt͡sʰ,θuʕ.baːn,,,,serˈpjente,,gvɛli,ʃlaŋ(ɡ),ˈⁿd͡ʒó.ka,,mɔːr,ˈʊrm,,ˈʃlaŋə,ŋuː˧,ˈʃarpe,ɦat,zmʲɪˈja,ŋɯ˧˩,ɡʲiːˈʋaːtʲeː,,sɑ̃ːp,,nei̯dr,,,ˈuːʃkɑ,naˈχaʃ,ˈkɔ.bɾa,vɔŋʂ,zmiˈja,sãp,,ˈhusː,ˈkiːɟoː,ˈseɾp,,,pe̞ːm,mwè,jilɑn,ˈn̪ˠæhəɾʲ,ˈɟ͡ʝaɾpəɹ,ʃɑp,ʃlaːŋ,,,pemi,ˈsɛɾpe̝,slɑŋ,,,ˈmɑto,,jɯ.ˈɫɑn,,ula(r),ˈsneɪk,ˈnaɛr,,ˈmɑdu,bs´,ˈstnauːkʏr,xap,,ˈgɑd,zʲmʲaˈja,mɒːɾ,,,,gvɛri,hwidʒ,ˈɦat,sɛʁ.pɑ̃,,ˈfiði,,slɑŋ,,ˈkiærmis,zan˧˦,ˈan.ɡʷis,*zbrul,,,,,ŋuː˦˥,,,ˈkàːtʃa,tʃūska,jɯ̞.ˈɫɑn,,ˈkæːrme,ˈkea̯rpmaʃ,mɔɢɔi,tsʼitsʼilä,s̪ɐɽ.pɐ́,serˈpɛn.te
heavy,,,ˈtsɑnəɾ,θa.qiːl,,,ˈtɛʒɔk,peˈsado,,mdzimɛ,,,,,tɵŋ,,ʃveːɐ̯,nak̚˨˩,ɡrew,ˈcɛʃkiː,tʲɪˈʐolɨj,nak˥,sʊŋˈkʊs,,bʱɑː.ɾɑː,,trʊm,,,ˈlæːlɑm,,pɨ.ˈza.ðu,ˈt͡ɕɛŋ.ʂkʲi,ˈtɛʒək,,,ˈrɑsːsːɤ,ˈnɛɦeːz,,,,muɡʌ̹p̚t͈a̠,lé,,t̪ˠɾˠuːmˠ,,,ʃwɜɪ̯ɐ,,,o̞mo̞i,,zʋaːr,tʊŋː,,ˈrɑskɑs,,ɑˈɰɯ́ɾ̝̊,,bərat,ˈhɛ.vi,,,ˈrɑske,d̥ʰṅn´,ˈθuŋkʏr,ɡɔ.dʱuɹ,d̪ruŋd̪,ˈjyged,ˈt͡sʲaʂkʲi,sæŋˈɡʲiːn,,,ʋɐˈʒkɪi̯,mɔnkʼä,gwæmi,ˈcaʃ.kiː,luʁ,,,,,,ˈjykie,naŋ˧˨ʔ,ˈɡra.wis,,,,,,,tɔnɡ,,ˈtɛ̀ːʒək,smaks,ɑˈwɯ̞r,swiər,ˈrɑskɑs,,xunt,mɔnkʼä,,peˈsante
wind,úmôːja,,kʰɑˈmi,riːħ,,,ˈvɛtɛr,ˈbjento,,kʰäri,,ˈᵐpʰé.po,,bɔːd,vɪnd,,vɪnt,lom˧,,ˈviːtr̩,ˈvʲetʲɪr,ɣum˧˩,ˈʋʲeːjɛs,,ɦəʋaː,ɡiː,,,,ˈt̪uːʎ,ˈʁuax,ˈvẽ.tu,vʲatr,ˈvʲatər,ɦəʋaː,,ˈtːuːl,ˈseːl,,,,pa̠ɾa̠m,lè,,ɡeː,ɛːɹ,,vant,,,ka̠ze̞,ˈbento̝,ʋɪnt,,,ˈtuːli,,ryzˈɟar,,aŋen,ˈwɪnd,ˈɑːvɛl,,ˈtuːl,k̥ʰyl´,ˈvɪntʏr,bɔtaʱ,bɑd,ˈtulːei,,bɒːd,,,ˈʋʲiter,bɔriä,bikʰw,ˈvi̯ɛtɔr,vɑ̃,ˈvɪntʊɹ,,,,,ˈtuːli,zɔ˧˦,ˈwen.tus,*rluŋ,,ˈha.ŋin,,,lom˦˥,ʋend,riːħ,,vɛ̄ːjʃ,jɪ̞l,,ˈtuːli,ˈpie̯ɡːɡa,saɮʲxʲ,iχi,ʋɑ́ː.t̪ɐ,ˈvɛn.to
