word,sl,km,be,ka,kfb,ku,th,cy,pl,af,tcx,tcy,mk,fo,kxv,ug,bn,tr,fr,vro,yi,lb,is,gon,ko,bo,pt,hu,he,brh,sq,zu,oc,en,sa,sk,tl,az,ga,nl,mn,kfa,xub,et,kn,my,liv,ny,lo,kru,es,gdb,ro,lt,fi,za,vot,sv,uk,ur,ta,vi,kfe,da,nn,bfq,la,hy,de,id,br,lzz,gv,mt,fa,krl,el,cs,sva,ms,te,yea,ca,hi,ar,ml,bg,kff,xmf,tg,ps,vep,ru,it,ja,fy,se,lv,gd,gl,mjt,pci,ba,as
where,ˈkjèː,,,säd,,,tʰiː˥˩.naj˩˩˦,,ɡd͡ʑɛ,,,,ˈkadɛ,,,,,nɛɾɛd̪ɛ,u,ˈkːon,vʊ,,,,ʌ̹di,,ˈõ.d͡ʒi,ˈɒɦol,ejˈfo,,,,ˈunt,ʍɛə(ɹ),,ˈɡɟɛ,,ˈhɑrɑ,,ʋaːr,,,,ˈkus,,,ˈkus,,,,ˈdonde,,ˈunde,kʊr,ˈmisːæ,,ˈkuzɑ,dɛːr,ˈdɛ,,,ʔɗəw˧˧,,,,,ˈu.bi,vɔɾˈtɛʁ,voː,,,sɔ,,,kʰoˈdʒɒː,ˈkus,,ɡdɛ,imɛg,di manə,,,ˈon,,,,,,sɔ,,,ˈkus,ɡdʲe,ˈdove,idu,,,kùɾ,,ˈonde̝,,,ˈqɑjðɑ,zot
liver,ˈjèːtra,t̥ʰloem,ˈpʲet͡ʂanʲ,ʁvidzli,kaleja,,tap̚˨˩,ˈavɨ̞,vɔnˈtrɔ.ba,,kuɖa:l,mannə,ˈd͡ʒiɡɛr,ˈliːvʊɹ,,,,kaɾadʒiːeɾ,fwa,ˈmɑsːsː,,ˈliəvɐ,ˈlɪːvʏr,taɾki,ka̠nd͡ʑa̠ŋ,,ˈfi.ɡɐ.du,ˈmaːj,,dʒagaɾ,,ísiɓîːndi,,lɪvə(ɹ),jɐ́.kr̩t̪,ˈpɛtʃɛɲ,,,eː,ˈleːvər,iɮəɡ,tombe,tədlə,ˈmɑks,hīri,ʔəθɛ́,ˈmɑksɑː,t͡ʃíˈw⁽ᵝ⁾i.ⁿdi,tap˦˥,umbalkʰo,ˈiɡado,taɖing,,,ˈmɑksɑ,tap˥,ˈmɑksɑ,,,,i:ɾaɭ,ɣaːn˧˧,i:ru,leːvər,ˈleːʋɛr,,ˈje.kur,ljɑɾtʰ,ˈleːbɐ,ha.ti,ˈɑːvy,dʒigɛri,eːn,,dʒeɡæɾ,ˈmɑksɑ,,ˈjaːtra,qʼwiʒɛ,hati,ka:lejamu,tombe,ˈfe.d͡ʒə,,kab.ba.da,īral,ˈtʃɛrɛn drɔp,ka:dʒam,tʃχɔntʃχi,dʒiɡær,,ˈmɑks,ˈpʲet͡ɕɪnʲ,ˈfeɡato,kã̠nd͡zo̞ː,,,aknas,,,tʃedɾo,taruṅg,bɑˈwɯ̞r,
yellow,ruˈmɛ́n,lẏaṅ,ˈʐou̯tɨ,qʼvitʰɛli,pijuda,ˈzɛɾ,lɯa̯ŋ˩˩˦,ˈmɛlɨ̞n,ˈʐuw.tɨ,χɪə̯l,aɾdʒin,mandʒalu,,ˈkuːlʊɹ,hingeɾi,,,sɑˈɾɯ,ʒon,ˈkːɤlːɑnɤ,,ɡie̯l,ˈkʏːlʏr,piva:ʰd,ˈno̞ːɾa̠tʰa̠,,ɐ.mɐ.ˈɾɛ.lu,ˈʃaːrɡɒ,,pu:ʃkun,,,,ˈjɛl.əʊ,,ˈʒɫ̩tiː,ˈdɪːlaʊ,,bˠiː,ɣeːl,ʃar,mandʒa,mandʒəla:ngi,ˈkolːɑne,haladi,wà,ˈviːri,,,ba:lka,amaˈɾiʎo,tukud,ˈɡal.ben,,ˈkeltɑinen,,ˈkɤltɑin,ɡʉːl,ˈʒɔu̯tei̯,,mandʒaɭ,vaːŋ˨˩,mandʒə,ɡuːl,,mandʒe,ˈflaː.wus,dɛˈʁin,ɡɛlp,,,säri,,ˈɪsfɐr,,ˈkeltɑni,,ˈʒlutiː,qʼwitʰɛl,kuneŋ,pasupu,mandʒe,ˈɡɾɔk,piˈla,ʔasˁ.far,maɲa,ʒɤlt,pasap,ʔvintʰɛli,,ʒeɻ,ˈpɑkuine,ˈʐoltɨj,ˈdʒal.lo,,,,dzæ̀ltæns,ˈb̥ujə,,balke,tūk,hɑˈrɯ̞,ɦa.lɔ.dʱia
dull,ˈtɔ́p,,tuˈpɨ,blägvi,,,,,ˈtɛm.pɨ,,,,,,,,,køɾ,e.mu.se,ˈnyhr,,,,,mudida̠,,ˈsɛ.ɣu,,,,,,,dʌl,,ˈtupiː,,,,bɔt,,,,ˈnyri,,tóʊɴ,ˈt̪ɨːlzɑ,,,,ˈromo,,toˈt͡ʃit,,ˈtylsæ,,ˈtylpːæ,,,,,kun˨˩,,sløːv,,,ˈhe.bes,butʰ,ʃtʊm(p)f,,,dʒängulä,,,,ˈtyltʃːæ,,ˈtʊpiː,luwrɛ,,,,,,ka.liːl,,,,dʒärguliä,,,ˈtylts,tʊˈpoj,,,,,,,,,,,
guts,,,,nätsʼlävi,,,,,,,,,ˈt͡srɛva,,,,,,ɑ̃t.ʁaj,ˈsːoːlikuʔ,,,,,,,,ˈbeːl,,,,,,ɡʌts,,,,,ˈɪn̠ʲiː,,,,,ˈsoːled,,ʔù,ˈsuːold̪,,,,,,,,ˈsuolisto,,ˈsoːlɤd,,,,,,,,,,,pʰoɾoˈtikʰ,ˈaɪ̯nɡəvaɪ̯də,,,tʃʼu,,,,ˈsuonet,,,tʃʼintʃʼil,,,,,,,,,,tʃʼi,,,ˈsoliʃt,kʲɪʂˈkʲi,,,,,,,,,,,
leg,nɔ̀ːɡa,joeṅ,naˈɣa,pʰɛχi,,,kʰaː˩˩˦,koːɨ̯s,ˈnɔ.ɡa,,,,,,,,pa,badʒak,ʒɑ̃b,ˈsːiːr,fʊs,,ˈfouːtʏr,,ta̠ɾi,*rkaŋ.pa,ˈpɛɾ.nɐ,ˈlaːb,ˈʁɛɡɛl,,kəm.bə,uḿ̩leːnze,ˈkambo,lɛɡ,,ˈnɔɦa,,,kɔsˠ,beːn,,,,ˈsæːr,,t͡ɕʰèdaʊʔ,ˈjɑːlgɑ,ˈmʷe.ⁿdo,kʰaː˩˨,,ˈpjerna,,,,ˈsæːri,ka˨˦,ˈrihi,ˈbeːn,,,,t͡ɕən˧˧,,beːn,bæɪn,,kruːs,vɔtkʰ,baɪ̯n,,ˈɡɑːr,kʼutʃχɛ,,ˈrɪd͡ʒɛl,pɒː,ˈsiæri,ˈpoði,ˈnoɦa,tʃʼiʃχ,kaki,,,ˈka.mə,,ra.d͡ʒi.la,,krak,,kʼutʃχi,,,ˈjɑug,nɐˈɡa,ˈɡamba,kʲa̠kɯ̟ᵝ,skoŋk,,kāːja,kʰas,,,,ɑˈjɑq,bʱɔ.ɹi
eat,,,,tʃʼämä,a:ntisatun,ˈxwɑːɾɯn,kin˧.kʰaːw˥˩,,,,toɾtin,uɳa:ɾa,ˈjadɛ,,tinu,,,,mɑ̃.ʒe,ˈsːɨːmæ,,ˈie̯sen,,dʒeʋi,ɕʰiks͈a̠ɦa̠da̠,,ko.ˈme(ʁ),,,kuning,,ɮá,,iːt,,,,jeˈmæk,ɪ,,,tinə,tinn,ˈsøːmɑ,tinnu,,ˈsiːe̞d̪ɨ,,kin˩˧ kʰau˨˩,mokʰna,koˈmeɾ,tin,luˈa,,ˈsyødæ,,ˈsyvːæ,ˈɛːˌta,,,sa:pədə,ʔan˧˧ kəːm˧˧,tin atej,spiːsə,,timbə,,uˈtɛl,ˈʔɛsn̩,,,ɔtʃʼkʼɔmu,,,,ˈsyːvːæ,ˈtro̞o̞,jiːst,lizwɛb,,tinu,tinno:,məɲˈʒa,,,tinnuga,,tinnu,tʃʼkʼɔmuä,,,ˈsødɑ,jesʲtʲ,manˈdʒa.re,,,,,,,dʒa:go:lpah,tin,,
green,zɛˈlɛ́n,paitṅ,zʲaˈlʲonɨ,mtsʼvänɛ,niguɾ,,kʰia̯w˩˩˦,ɡwɨ̞rð,ʑɛˈlɔ.nɨ,,patʃtʃai,patʃtʃe,,,a:kupatʃtʃa,jeˈʃil,,jeˈʃil,vɛʁ,ˈrohilinɤ,ɡʁin,ɡʀeŋ,kraitn,patʃtʃad,no̞ks͈e̞k̚,*ld͡ʑaŋ.kʰu,ˈveɾ.ðɨ,ˈzøld,jaˈʁok,guanakki,ˈɟɛlbəɾ,,ˈbert,ɡɹiːn,,ˈze̞.ɫe̞.niː,,jɑˈʃɯɫ,ɡlˠasˠ,ɣrun,,patʃtʃe,passla:ngi,ˈroheline,hasiru,séɪɴ,ˈoːʎɑz,,,haɾija:ɾ,ˈberde,tukud,ˈver.de,,ˈʋihreæ,,ˈrohoin,ɡrøːn,zeˈlɛnei̯,,patʃtʃə,maw˨˩,patʃtʃə,ɡrœn,,patʃtʃe,ˈwi.ri.dis,kɑˈnɑt͡ʃʰ,ɡʁyːn,,,χäntʃʼɛni,,ˈɐħdɐr,sæbz,ˈvihrie,ˈpɾasinos,ˈzɛlɛniː,jərʒi,hid͡ʒau̯,patʃtʃa,patʃtʃe,ˈvɛɾt,ɦə.ɾɑː,ʔax.dˁar,patʃtʃa,zɛˈlɛn,patʃtʃa,tsʼvänɛ,,zərˈɣun,ˈvihɑnd,zʲɪˈlʲɵnɨj,ˈver.de,mʲido̞ɾʲi,ɣriə̯n,,zaʎʃ,ˈuəɲə,ˈbeɾðe̝,ɾanalo,pay,jæˈʃɪ̞l,xɛu.zia
all,ˈʋə́s,,,qʼvɛlä,ma:k,,,ɪˈɡɨːd,ˈfʂɨ.stɛk,,oʋʋoɖimo,ma:ta,ˈsitɛ,ˈat.lʊɹ,hara,,,byˈtyn,tus,ˈkːɤikː,ˈalə,,,bottig,ˈmo̞ːdɯn,,ˈto.ðu,ˈmindɛn,kol,kull,ɡjiθ(ə),,tut,ɔːl,s̪ɐ́ɽ.ʋɐ,ˈfʃɛtɔk,,,ˈɪlʲə,ɑl,,ella,o:ʈəja,ˈkɤik,ella,ʔálóʊɴ,ˈɑmɑː,,,majin,ˈtodos,tukud,tot,ˈvʲɪ.sɐs,ˈkɑikːi,,ˈkɤikːi,ˈalˌa,,,ella:m,,ella:m,alə,,ella,,bɔˈlɔɾ,al,sə.mu.a,,iri,,,hæˈme,ˈkɑikːi,,ˈfʃɪxɲɪ,mæg,səmuə,anta,nanga:ɭə,ˈtot,səb,kull,ella,,anta:,ärdzä,,,ˈkɑik,vʲesʲ,ˈtutto,sɨᵝbe̞te̞,,,,,,go:ʈahi:,tūk,ˈbʏ̞.tæ,xɔ.kɔ.lʊ
when,ˈɡdàːj,ʾṅ̥kāl´ṇā,,rɔdis,,,mɯa̯˥˩,prɨːd,ˈkʲɛ.dɨ,,,,ˈkɔɡa,,,,kɒ.kʰɒn,,kɑ̃,ˈkːunɑ,,,,,ˈɘːnd͡ʑe̞,,ˈkwɐ̃.du,ˈmikor,maˈtaj,,,,,ʍɛn,kɐ.d̪ɑ́ː,,,ˈhɑt͡ʃɑn,kəˈhɪnʲ,ʋɑˈneːr,,,,ˈmilːɑl,,bɛ̀dɔ̰,ˈkunɑː,,mɯa˧˧,,ˈkwando,,kɨnd,kɐˈdɐ,ˈkoskɑ,,ˈkɤnz,,kɔˈlɪ,,,xi˧˧ naːw˨˩,,vɔrnɔːr,,,ˈkʷan.doː,jɛɾpʰ,van,ka.pan,,mundɛs,,,kʰej,ˈkonsɑ,ˈpote,ɡdɪ,ʃɔmä,bi.lə,,,ˈkwan,kəb,ma.taː,,,,muʒäms,,,ˈkonz,kɐɡˈda,ˈkwando,nã̠ɲ̟d͡ʑi,,,,,,,,ˈqɑsɑn,kɛ.tia
