word,ka,vro,xmf,sv,lzz,de,et,fi,en,da,sva
fat,tsχimi,ˈrɑsːɤv,gägäbi,fɛt,jäʁi,fɛt,ˈrɑsʋ,ˈrɑsʋɑ,fæt,fet,mətʃχim
left,märtsχɛnä,ˈkːurɑ,kʼvärtʃχäni,,kʼväntʃχäri,lɪŋk,ˈʋɑsɑk,ˈʋɑsen,lɛft,,lɛrtʰɛn
snake,gvɛli,ˈhusː,gvɛri,ˈʊrm,tsʼitsʼilä,ˈʃlaŋə,ˈmɑdu,ˈkæːrme,ˈsneɪk,,hwidʒ
fish,tʰɛvzi,ˈkːɑlɑ,tʃχɔmi,fɪsk,tʃχɔmi,fɪʃ,ˈkɑlɑ,ˈkɑlɑ,ˈfɪʃ,fesk,tsuz
right,märdʒvɛnä,ˈhyæ,märdzgväni,,mädzgväni,ʁɛçt,ˈpɑrem,ˈoikeɑ,ˈɹaɪt,rɛt,lɛrsgwɛn
who,vin,ˈkːiæ,mi,,min,veːɐ̯,ˈkes,ˈkukɑ,hw,vɛm,jær
dry,mʃräli,ˈkːuiv,skʰiru,,χɔmulä,ˈtʁɔkən,ˈkuiʋ,ˈkuiʋɑ,dɹaɪ,tœːr,pʰikʼwi
split,qʼɔpʰä,ˈlɑhkːi ɑjɑmɑ,rtʰuälä,deːla,ɔrtʰu,ˈʃpaltn̩,ˈlɤhestɑmɑ,ˈhɑlkɑistɑ,splɪt,,lirdɛ
stand,dgɔmä,ˈsːɑisːmɑ,gɛrinä,,dɔdginu,ˈʃteː.ən,ˈseismɑ,ˈseisoɑ,stænd,,lignɛ
tail,kʼudi,ˈhɑnt,kʼudɛli,svans,kʼudɛli,ʃvant͡s,ˈsɑbɑ,ˈhæntæ,teɪl,haːlə,hækʼwɛd
tree,χɛ,ˈpːuː,dʒä,,ndʒä,baʊ̯m,ˈpuː,ˈpuː,tɹiː,trɛː,mɛgɛm
five,χutʰi,ˈviːsː,χutʰi,fɛm,χutʰ,fʏnf,ˈʋiːs,ˈʋiːsi,faɪv,,wɔχuʃd
few,tsɔtʼä,ˈveityʔ,tʃʼitʃʼɛ,foː,mtsikʰä,ˈveːnɪç,ˈʋæhe,ˈʋæhæn,fjuː,fɔː,mɔid
you,tʰkʰvɛn,ˈtːiːʔ,tʰkʰvä,dʉː,tʰkʰvän,duː,ˈteie,ˈte,juː,du,sgæ
back,zurgi,ˈsːælk,ɔtʃʼiʃi,rʏɡ,kʼäpʼulä,ˈʁʏkn̩,ˈselg,ˈselkæ,bæk,,tʃʼätʃʼær
fight,tʃχubi,ˈtːɑpːlɤmɑ,tʃχupʼi,,ɔkʼɔkʼidinu,kɛm(p)fən,ˈʋɤitlemɑ,ˈtɑpelːɑ,faɪt,,litsuäl
give,mitsɛmä,ˈɑntmɑ,mɛtʃämä,jeː,mɛtʃämu,ˈɡeːbən,ˈɑndmɑ,ˈɑntɑː,ɡɪv,ɡiː,lihwdi
