word, cs, cy, de, el, en, eo, es, fr, ga, hu, hy, is, it, ka, km, ko, lv, ms, my, nl, pl, pt, ro, ru, sk, sl, th, tr, vi
we, mɪ, niː, viːɐ̯, e̞ˈmis, wiː, ni, noˈsotɾos, nu, mˠɪdʲ, ˈmi, mɛŋkʰ, vɪð, ˈnoi, tʃvɛn, yoeṅ, uɾi, mɛ̄ːs, kami, t͡ɕoʊʔto̰, ʋɛi̯, mɨ, ˈnɔʃ, noj, mɨ, ˈmi, ˈmíː, raw˧, bɪz, t͡ɕʊwŋ͡m˧˦ toj˧˧
you, tɪ, tiː, duː, e̞ˈsi, juː, t͡si, ˈtu, ty, t̪ˠuː, ˈtɛ, du, θu, t̪u, ʃɛn, lok, ta̠ŋɕʰin, tu, kamu, nɪ̀ɴ, jɛi̯, tɨ, tu, tu, tɨ, ˈti, ˈtíː, kʰun˧, sen, ʔɓaːn˧˨ʔ
four, ˈt͡ʃtɪr̝ɪ, ˈpɛdwar, fiːɐ̯, ˈte̞se̞ˌra, fɔː, kvar, ˈkwatɾo, katʁ, ˈcahəɾʲ, ˈneːɟ, t͡ʃʰɔɾs, ˈfjouːrir, ˈkwat.tro, ɔtʰxi, puan, ne̞ːt̚, tsætri, əmpat, lé, vir, ˈt͡ʂtɛ.rɨ, ˈkwa.tɾu, ˈpa.tru, t͡ɕɪˈtɨrʲe, ˈʃtiri, ˈʃtìːrjɛ, siː˨˩, dœɾt, ʔɓon˧˦
five, ˈpjɛt, pɨ̞mp, fʏnf, ˈpe̞(n)de̞, faɪv, kvin, ˈθinko, sɛ̃k, kuːɟ, ˈøt, hiŋɡ, fɪmː, ˈt͡ʃin.kwe, xutʰi, p̥rāṃ, ta̠sʰʌ̹t̚, pìɛtsi, limə, ŋá, vɛi̯f, pʲɛɲt͡ɕ, ˈsĩ.ku, t͡ʃint͡ʃʲ, pʲætʲ, ˈpɛc, péːt, haː˥˩, beʃ, nam˧˧
child, ˈɟiːcɛ, ˈplɛntɨ̞n, kɪnt, peˈði, t͡ʃaɪld, inˈfano, ˈixo, ɑ̃.fɑ̃, ˈpˠɑːʃtʲə, ˈɟɛrɛk, jɛɾɛˈχɑ, ˈpartn, bamˈbi.no, bɑvʃvi, kūn, ʌ̹ɾini, bæ̀ːɾns, anaʔ, kʰəlé, kɪnt, ˈd͡ʑɛt͡s.kɔ, ˈfi.ʎu, fiw, rʲɪˈbʲɵnək, ˈɟi̯e.ca, ɔˈtrɔ́k, luːk̚˥˩, t͡ʃo̞ˈd͡ʒuk, ʔɗɨə˧˦ ʔɓɛ˧˦
father, ˈotɛt͡s, taːd, ˈfaːtɐ, paˈteras, ˈfɑː.ðə(ɹ), ˈpatro, ˈpadɾe, pɛʁ, ˈahəɾʲ, ˈɒpɒ, hɑjɾ, ˈfaːðɪr, ˈpa.dre, mɑmɑ, ýubuk, a̠bʌ̹d͡ʑi, tǣːws, bapə, ʔəpʰè, ˈvaː.dər, ˈɔj.t͡ɕɛt͡s, paj, ˈta.tə, ɐˈtʲet͡s, ˈɔcɛt͡s, ˈɔ̀ːtʃɛ, pʰɔː˥˩, bɑˈbɑ, ʔɓaː˧˧
animal, ˈʒɪvot͡ʃɪx, aˈnɪvai̯l, tiːɐ̯, ˈzo.o, ˈænɪməl, aniˈmalo, aniˈmal, a.ni.mal, anʲəvʲiː, ˈaːlːɒt, kɛntʰɑˈni, tiːr, aniˈmale, tsxɔvɛli, st̥v, ˈto̞ːŋmuɭ, dzîunìɛks, binataŋ, təɹeɪʔsʰàɴ, dir, ˈzvʲɛ.ʐɛ, ˌɐ.ni.ˈmaw, a.niˈmal, ʐɨˈvotnəjə, ˈʒivɔt͡ʃiːx, ʒiˈʋáːw, sat̚˨˩, hajˈvan, tʰu˧˦ vət̚˧˨ʔ
fish, ˈrɪba, pəsˈɡɔdɨ̯n, fɪʃ, ˈp͡sari, ˈfɪʃ, ˈfiʃo, ˈpeθ, pwa.sɔ̃, iəsˠk, ˈhɒl, d͡zuk, ˈfɪskʏr, ˈpeʃːe, tʰɛvzi, t̥rī, muɭk͈o̞ɡi, ziws, ikan, ŋá, vɪs, ˈrɨ.ba, ˈpɐjʃɨ, ˈpeʃte, ˈrɨbə, ˈriba, ˈrìːba, plaː˧, bɑ.ˈɫɯk, kaː˧˦
snake, ɦat, nei̯dr, ˈʃlaŋə, ˈfiði, ˈsneɪk, serˈpento, serˈpjente, sɛʁ.pɑ̃, ˈn̪ˠæhəɾʲ, ˈkiːɟoː, ɔt͡sʰ, ˈstnauːkʏr, serˈpɛn.te, ɡvɛli, bs´, pe̞ːm, tʃūska, ula(r), mwè, slɑŋ, vɔŋʂ, ˈkɔ.bɾa, ˈʃarpe, zmʲɪˈja, ˈɦat, ˈkàːtʃa, ŋuː˧, jɯ.ˈɫɑn, zan˧˦
tree, strom, ˈkɔɨ̯dɛn, baʊ̯m, ˈðe̞n.dro̞, tɹiː, ˈarbo, ˈarbol, aʁbʁ, kɾˠaun̪ˠ, ˈfɒ, t͡sɑr, tʰrjɛː, ˈal.be.ro, xɛ, ṭoemjʰoe, na̠mu, kùoks, pokokʔ, θɪʔpɪ̀ɴ, boːm, ˈdʐɛ.vɔ, ˈaɾ.vu.ɾɨ, ˈarbore, ˈdʲerʲɪvə, strɔm, drɛˈʋóː, ton˥˩.maːj˦˥, a.át͡ʃ, kəj˧˧
