word,vep,vot,fi,vro,krl,liv,et
say,ˈsɑnudɑ,ˈʝutɤlːɑː,ˈsɑnoɑ,ˈytːlemæ,ˈsɑnuo,ˈkiːt̪ɨ,ˈytlemɑ
forest,ˈmets,ˈmetsːæ,ˈmetsæ,ˈmɤtːsː,ˈmetʃːɑ,ˈmɨt̪sɑː,ˈmets
count,ˈlɑʃkɑ,ˈlukɤɑ,ˈlɑskeɑ,ˈlukɤmɑ,ˈlɑskie,ˈlugːɨ,ˈlugemɑ
fat,ˈrɑzv,ˈrɑzvɑ,ˈrɑsʋɑ,ˈrɑsːɤv,ˈrɑzvɑ,ˈrɑzɑː,ˈrɑsʋ
sun,ˈpæivæine,ˈpæivikːo,ˈɑurinko,ˈpːæiv,ˈpæivæne,ˈpæːvɑ,ˈpæike
far,ˈedɑhɑn,ˈkɑukɑlːɑ,ˈkɑukɑnɑ,ˈkːɑvːɤn,ˈetæhænæ,ˈkougɨn,ˈkɑugel
louse,ˈtæi,ˈtæi,ˈtæi,ˈtːæi,ˈtæi,ˈt̪e̞i,ˈtæi
stone,ˈkivi,ˈtʃivi,ˈkiʋi,ˈkːivi,ˈkivi,ˈkiv,ˈkiʋi
dog,ˈkoir,ˈkoirɑ,ˈkoirɑ,ˈpːini,ˈkoirɑ,ˈpiɲ,ˈkoer
ear,ˈkorv,ˈkɤrvɑ,ˈkorʋɑ,ˈkːɤrv,ˈkorvɑ,ˈkuːorɑ,ˈkɤrʋ
bark,ˈkorʲ,ˈkoːri,ˈkuori,ˈkːuːrʲ,ˈkuori,ˈkuːor,ˈkoːr
come,ˈtuldɑ,ˈtulɤɑ,ˈtulːɑ,ˈtːulɤmɑ,ˈtulːɑ,ˈt̪uːld̪ɑ,ˈtulemɑ
thin,ˈkyrzʲ,ˈɤhud,ˈohut,ˈohkːu,ˈlætːy,ˈvʊit̪i,ˈɤhuke
knee,ˈkomb,ˈpɤlvi,ˈpolʋi,ˈpːɤlv,ˈpolvi,ˈpuːolɑ,ˈpɤlʋ
water,ˈvezi,ˈvesi,ˈʋesi,ˈvesːi,ˈvesi,ˈve̞ʒ,ˈʋesi
stab,ˈtʃokɑitɑ,ˈpisːæː,ˈpistæː,ˈtːsːusːkːɑmɑ,ˈpystelːæ,ˈsiskɨ,ˈpistmɑ
that,ˈse,ˈtoː,ˈtuo,ˈtːuː,ˈtuo,ˈt̪ɑː,ˈtoː
yellow,ˈpɑkuine,ˈkɤltɑin,ˈkeltɑinen,ˈkːɤlːɑnɤ,ˈkeltɑni,ˈviːri,ˈkolːɑne
dig,ˈkɑidɑ,ˈkɑivɑː,ˈkɑiʋɑː,ˈkːɑipmɑ,ˈkɑivuɑ,ˈkuovo,ˈkɑeʋɑmɑ
live,ˈelædɑ,ˈelæː,ˈelæː,ˈelæmæ,ˈelie,ˈje̞lːɨ,ˈelɑmɑ
with,ˈyhtes,ˈkɑːsɑ,ˈkɑnsːɑ,ˈytːen,ˈkerɑlː,ˈiːɲɨz,ˈkoːs
child,ˈlɑpsʲ,ˈlɑhsi,ˈlɑpsi,ˈlɑtːsː,ˈlɑpsi,ˈlæpʃ,ˈlɑps
swell,ˈpuhlotɑ,ˈpɑisːuɑ,ˈpɑisuɑ,ˈpːɑisːtːumɑ,ˈpɑisuo,ˈpɑist̪ɨ,ˈpɑisumɑ
hold,ˈpidɑdɑ,ˈpitæː,ˈpitæː,ˈpːitæmæ,ˈpityæ,ˈpid̪ːɨ,ˈhoidmɑ
mother,ˈmɑmoi,ˈemæ,ˈæiti,ˈimæ,ˈmuɑmo,ˈje̞mɑː,ˈemɑ
tree,ˈpu,ˈpuː,ˈpuː,ˈpːuː,ˈpuː,ˈpuː,ˈpuː
play,ˈvætæ,ˈmæntʃiæ,ˈleikːiæ,ˈmænkmæ,ˈkiʒɑtɑ,ˈmængɨ,ˈmængimɑ
tail,ˈhænd,ˈæntæ,ˈhæntæ,ˈhɑnt,ˈhæntæ,ˈt̪ɑbɑːr,ˈsɑbɑ
heart,ˈsydæin,ˈsyæ,ˈsydæn,ˈsːyæ,ˈsyvæin,ˈsid̪ɑːm,ˈsydɑ
scratch,ˈkynstæ,ˈkrɑːpːiɑ,ˈrɑːpiɑ,ˈkːrɑːpːmɑ,ˈkyndʒie,ˈkɑsiːɲtʲɨ,ˈkrɑːpimɑ
sleep,ˈmɑgɑtɑ,ˈmɑkɑː,ˈnukːuɑ,ˈmɑkɑmɑ,ˈmɑguɑ,ˈmɑgːɨ,ˈmɑgɑmɑ
wet,ˈmærg,ˈmærtʃæ,ˈmærkæ,ˈlikːɤ,ˈmærgæ,ˈkɑʒːi,ˈmærg
hear,ˈkuldɑ,ˈkuːlːɑ,ˈkuːlːɑ,ˈkːuːltmɑ,ˈkuːlːɑ,ˈkuːloː,ˈkuːlmɑ
this,ˈnetse,ˈse,ˈtæmæ,ˈsːeo,ˈtæmæ,ˈse̞,ˈseː
liver,ˈmɑks,ˈmɑksɑ,ˈmɑksɑ,ˈmɑsːsː,ˈmɑksɑ,ˈmɑksɑː,ˈmɑks
fire,ˈlæmoi,ˈtuːli,ˈtuli,ˈtːuli,ˈtuli,ˈt̪uʎ,ˈtuli
when,ˈkonz,ˈkɤnz,ˈkoskɑ,ˈkːunɑ,ˈkonsɑ,ˈkunɑː,ˈmilːɑl
star,ˈtæhtɑz,ˈtæhti,ˈtæhti,ˈtːæhtː,ˈtæhti,ˈt̪e̞ːd̪j,ˈtæht
think,ˈmeletɑdɑ,ˈduːmɑtɑ,ˈɑjɑtelːɑ,ˈmɤtːlɤmɑ,ˈtuːmɑmɑijɑ,ˈmɨt̪lɨ,ˈmɤtlemɑ
you,ˈtiː,ˈtyː,ˈte,ˈtːiːʔ,ˈtyø,ˈt̪e̞ːg,ˈteie
guts,ˈsoliʃt,ˈsoːlɤd,ˈsuolisto,ˈsːoːlikuʔ,ˈsuonet,ˈsuːold̪,ˈsoːled
wing,ˈsuːg,ˈsiːpi,ˈsiːpi,ˈsːiːp,ˈsiːbi,ˈt̪iːbɨz,ˈtiːb
worm,ˈtʃundtʃ,ˈmɑokːɤin,ˈmɑto,ˈhusː,ˈuotːø,ˈborʲ,ˈusː
mountain,ˈmægi,ˈmætʃi,ˈʋuori,ˈmæki,ˈmægi,ˈmæg,ˈmægi
white,ˈvɑuged,ˈvɑlkeɑ,ˈʋɑlkoinen,ˈvɑlkɤ,ˈvɑlgei,ˈvɑːld̪ɑ,ˈʋɑlge
earth,ˈmɑ,ˈmɑː,ˈmɑː,ˈmɑː,ˈmuɑ,ˈmoː,ˈmuld
black,ˈmust,ˈmusːɑ,ˈmustɑ,ˈmusːtː,ˈmustɑ,ˈmust̪ɑː,ˈmust
squeeze,ˈɑhtiʃtɑdɑ,ˈlutisɑː,ˈpuristɑː,ˈpːitːsːitːæmæ,ˈlitʃɑtɑ,ˈpiːkst̪ɨ,ˈpigistɑmɑ
woman,ˈnɑine,ˈnɑin,ˈnɑinen,ˈnɑːnɤ,ˈnɑine,ˈnɑi,ˈnɑine
moon,ˈku,ˈkuː,ˈkuː,ˈkːuː,ˈkuː,ˈkuː,ˈkuː
tie,ˈsidodɑ,ˈsiotːɑː,ˈsitoɑ,ˈkːøytːmæ,ˈsituo,ˈsid̪ːɨ,ˈsidumɑ
because,ˈsikʃ miʃe,ˈsenperæsːæ,ˈkoskɑ,ˈsːelːe etː,ˈkonsɑ,ˈsie̞pe̞rɑːst̪,ˈsest
if,ˈku,ˈkui,ˈjos,ˈkːu,ˈgu,ˈɑʒ,ˈkui
dirty,ˈredukɑz,ˈmusːɑ,ˈlikɑinen,ˈmusːtːɤnuʔ,ˈligɑhine,ˈmustɑː,ˈmust
he,ˈhæn,ˈtæmæ,ˈhæn,ˈtːimæ,ˈhæi,ˈt̪æmɑː,ˈtemɑ
road,ˈte,ˈteː,ˈtie,ˈtːiː,ˈtie,ˈrie̞k,ˈteː
three,ˈkuːme,ˈkɤlmɤd,ˈkolme,ˈkːolm,ˈkolme,ˈkuolm,ˈkolm
straight,ˈoiged,ˈɤikɤɑ,ˈsuorɑ,ˈɤkɤv,ˈoigie,ˈkuːodʲi,ˈsirge
sand,ˈlete,ˈliːvɑ,ˈhiekːɑ,ˈliːv,ˈtʃuːru,ˈjɨugɨ,ˈliːʋ
day,ˈpæiv,ˈpæivæ,ˈpæiʋæ,ˈpːæiv,ˈpæivæ,ˈpæːvɑ,ˈpæeʋ
breathe,ˈhenktæ,ˈentʃiæ,ˈhengitːæː,ˈhenkæmæ,ˈhengitiæ,ˈje̞ngɨ,ˈhingɑmɑ
ash,ˈtuhk,ˈtuhkɑ,ˈtuhkɑ,ˈtːuhkː,ˈtuhkɑ,ˈt̪uːgɨ,ˈtuhk
small,ˈpenʲ,ˈpeːni,ˈpieni,ˈvæikːu,ˈpieni,ˈpiʃki,ˈʋæike
suck,ˈimedɑ,ˈimiæ,ˈimeæ,ˈnutsːimɑ,ˈimie,ˈimːɨ,ˈimemɑ
bite,ˈpurdɑ,ˈpurɤɑ,ˈpurːɑ,ˈhɑukːɑmɑ,ˈpurːɑ,ˈjɑmst̪ɨ,ˈhɑmːustɑmɑ
dry,ˈkuiv,ˈkuivɑ,ˈkuiʋɑ,ˈkːuiv,ˈkuivɑ,ˈkuːjɑ,ˈkuiʋ
rope,ˈnor,ˈtʃøysi,ˈkøysi,ˈkːøytsː,ˈnuorɑ,ˈkie̞uʒ,ˈkøis
snake,ˈgɑd,ˈmɑto,ˈkæːrme,ˈhusː,ˈkiærmis,ˈuːʃkɑ,ˈmɑdu
vomit,ˈoksetɑ,ˈɤhsɤnɤɑ,ˈoksentɑː,ˈosːsːɤntɑmɑ,ˈoksenduɑ,ˈoksnɨ,ˈoksendɑmɑ
few,ˈvæhæ,ˈvæhæː,ˈʋæhæn,ˈveityʔ,ˈvæhæine,ˈve̞it̪ɨ,ˈʋæhe
grass,ˈhein,ˈroho,ˈruoho,ˈhɑin,ˈheinæ,ˈɑːinɑ,ˈrohi
root,ˈjurʲ,ˈʝuːri,ˈjuːri,ˈjuːr,ˈjuːri,ˈjuːrʲ,ˈjuːr
rub,ˈhostæ,ˈɤːrtɑː,ˈhieroɑ,ˈhɤːrtmɑ,ˈhieruo,ˈɨːrɨ,ˈhɤːrumɑ
fruit,ˈplod,ˈviʎːɑ,ˈhedelmæ,ˈvili,ˈfrukt,ˈviːʎɑ,ˈʋili
ice,ˈjæ,ˈʝæː,ˈjæː,ˈijæ,ˈjæː,ˈje̞i,ˈjæː
husband,ˈmezʲ,ˈmeːz,ˈmies,ˈmiːsː,ˈmies,ˈmiːe̞z,ˈmeːs
red,ˈrusked,ˈkɑuniz,ˈpunɑinen,ˈverːev,ˈruskie,ˈpunːi,ˈpunɑne
horn,ˈsɑrv,ˈsɑrvi,ˈsɑrʋi,ˈsːɑrv,ˈsɑrvi,ˈsorɑ,ˈsɑrʋ
they,ˈhiː,ˈnæmæd,ˈhe,ˈnimæʔ,ˈhyø,ˈne̞,ˈnemɑd
skin,ˈnɑhk,ˈiho,ˈiho,ˈnɑhkː,ˈnɑhkɑ,ˈnoːgɨ,ˈnɑhk
fear,ˈvɑrɑitɑ,ˈpelːætæ,ˈpelætæ,ˈpːelkæmæ,ˈvɑrɑt,ˈæd̪ɑːgɨ,ˈkɑrtmɑ
four,ˈnelʲː,ˈnelːæ,ˈneljæ,ˈneli,ˈnelʲːæ,ˈne̞ːʎɑ,ˈneli
seed,ˈsemen,ˈseːmeː,ˈsiemen,ˈsːeːmeʔ,ˈsiemen,ˈsiːe̞mgɨz,ˈseːme
man,ˈmezʲ,ˈmeːz,ˈmies,ˈmiːsː,ˈmies,ˈmiːe̞z,ˈmeːs
swim,ˈujudɑ,ˈuʝuɑ,ˈuidɑ,ˈoitmɑ,ˈuijɑ,ˈvʊigɨ,ˈujumɑ
wide,ˈleved,ˈlɑdʲdʲɑ,ˈleʋeæ,ˈlɑkʲɑ,ˈlevei,ˈlɑigɑː,ˈlɑi
smell,ˈmujudɑ,ˈhɑisːɑː,ˈhɑistɑː,ˈhɑisːu tːuntmɑ,ˈhɑiʒuo,ˈnuːʃkɨ,ˈhɑistmɑ
near,ˈlæz,ˈlitʃi,ˈlæhelːæ,ˈlæhkːyn,ˈlæsːæ,ˈle̞ʒgɨl,ˈlæhedɑl
spit,ˈsylʲktɑ,ˈsylːetæ,ˈsylkeæ,ˈsːylkæmæ,ˈsylgie,ˈsiʎgɨ,ˈsylitɑmɑ
turn,ˈkæroutɑ,ˈtʃæːntæː,ˈkæːntyæ,ˈkːæːntmæ,ˈkiændiæ,ˈkiːe̞rɨ,ˈpøːrɑmɑ
what,ˈmi,ˈmikæ,ˈmikæ,ˈmiæ,ˈmi,ˈmis,ˈmis
short,ˈlyhyd,ˈlyhyd,ˈlyhyt,ˈlyhykːene,ˈlyhyt,ˈliːt̪ɨ,ˈlyhike
mouth,ˈsu,ˈsuː,ˈsuː,ˈsːuː,ˈsuː,ˈsuː,ˈsuː
lie,ˈmɑgɑtɑ,ˈleʃeæ,ˈmɑːtɑ,ˈvɤlsːmɑ,ˈmuɑtɑ,ˈmɑgːɨ,ˈlɑmɑmɑ
cold,ˈkɑuged,ˈtʃylmæ,ˈkylmæ,ˈkːylm,ˈkylmæ,ˈkiːlmɑ,ˈkylm
sky,ˈtɑivɑz,ˈtɑivɑ,ˈtɑiʋɑs,ˈtːɑivɑsː,ˈtɑivɑs,ˈt̪ouvɨs,ˈtɑeʋɑs
many,ˈæi,ˈmitːomɑ,ˈmontɑ,ˈpːɑlːʲo,ˈæijæ,ˈpæːgiɲ,ˈpɑlju
where,ˈkus,ˈkuzɑ,ˈmisːæ,ˈkːon,ˈkus,ˈkus,ˈkus
rain,ˈvihm,ˈsɑto,ˈsɑde,ˈvihm,ˈviːmɑ,ˈviːm,ˈʋihm
bad,ˈhond,ˈpɑhɑ,ˈpɑhɑ,ˈhɑlv,ˈhuono,ˈæbjɨvɑː,ˈhɑlb
correct,ˈoiged,ˈɤikɤɑ,ˈoikeɑ,ˈɤikɤ,ˈoikie,ˈɨigi,ˈɤige
at,ˈl,ˈlːɑ,ˈlːɑ,ˈl,ˈlːɑ,ˈjuːsɨ,ˈl
big,ˈsurʲ,ˈsuːri,ˈiso,ˈsːuːr,ˈsuːri,ˈsuːr,ˈsuːr
