,af,ar,as,az,ba,be,bfq,bg,bn,bo,br,brh,ca,cs,cy,da,de,el,en,es,et,fa,fi,fo,fr,fy,ga,gd,gdb,gl,gon,gv,he,hi,hu,hy,id,is,it,ja,ka,kfa,kfb,kfe,kff,km,kn,ko,krl,kru,ku,kxv,la,lb,liv,lo,lt,lv,lzz,mjt,mk,ml,mn,ms,mt,my,nl,nn,ny,oc,pci,pl,ps,pt,ro,ru,sa,se,sk,sl,sq,sv,sva,ta,tcx,tcy,te,tg,th,tl,tr,ug,uk,ur,vep,vi,vot,vro,xmf,xub,yea,yi,za,zu
af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ar,12.887366522366523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
as,11.127133132567916,12.273062058916077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
az,13.29854347041847,12.330432285251561,11.572491691809873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba,11.582407407407409,12.138480251312112,12.406591424448564,5.747735289401955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be,11.571351911976913,10.438490386292584,12.117962827469869,11.987547892720308,11.278159898849553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfq,13.305004409171078,10.584873459873458,13.69693993282703,12.809287410702504,13.156398328040119,10.17420534011443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg,10.209239130434783,10.406662844162842,11.879500505953994,12.074295347509633,11.374782807951123,7.483876531344885,11.678444626361292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bn,11.464474678760393,10.967308000641335,5.68621385389678,11.898367313689896,11.914733414733412,12.424192665571976,12.968464405964406,11.321017937089366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bo,14.178267810620753,12.331474495653598,13.070099139543583,12.364554857287414,12.104478303883068,13.082468149134815,12.801621363386072,13.160691674580562,14.955055210489995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
br,11.154852092352092,11.386942918192917,11.08522297808012,12.102575585334208,11.06315253374077,11.587255337255337,13.295286195286195,11.0414786159467,11.40950176366843,12.208725914608268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brh,11.978637728637729,11.534114004841854,13.105857326095421,11.192024493363778,12.4590318411747,10.838528841270614,11.498548638342857,12.332181687708005,12.524013949013948,12.831633499602248,13.353455138611388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca,10.244745069745072,12.320129391681116,11.864038970288968,12.644944164746144,12.67505893353351,11.999633367839888,12.574079505765553,11.321796024126533,11.940671596921597,12.922631902411316,11.776844070961717,12.516812399655535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs,10.925989057239057,10.97631745082403,12.391686158823257,12.050301992060875,11.973740468932776,5.4601355588855585,11.279454977257174,7.558270323151274,12.177540713254999,13.197498874582209,11.241413889141166,11.758640929074364,11.172375739340024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cy,11.483258238360278,11.822884083129985,12.99040306915307,12.67941413631069,12.458465145965144,12.075601228040252,12.23421163927493,11.222789363414364,13.269268077601412,13.686840936840937,8.196329938177763,12.867331596348816,11.223181565532311,11.709481246453079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da,8.966418650793651,13.200219986984692,11.66298785602583,13.145567712348534,11.619679086345753,12.308538097270489,12.931783183648857,11.760913989111666,11.365593161047707,14.22076507370625,10.980759980759982,13.271504317278964,10.667098617756514,11.748813629911192,11.288662235631934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,8.273776997137652,11.236753914889322,11.403679760410528,11.879660118737785,11.771335288642982,11.834537791268561,11.57954396260848,10.356067984044175,11.918892496392495,13.256475970017638,10.883002479700593,11.758282739597174,10.172946560658424,10.948884336989176,11.038413650392819,8.809350592088688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el,11.671888053467,10.242019138788802,12.927057684099939,12.32686805531633,12.733618473878215,9.420077442398872,10.572756358074583,10.464941027441027,11.681865648970911,13.982117089259948,12.586067144660895,11.446994202034524,12.617025123402676,10.697306196359778,12.913610572434099,12.93305205261727,11.388304937583785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en,8.822762164975279,13.864794755998457,12.125323611225868,13.81050259264545,12.845922665471537,14.291667767736024,15.331069468166241,12.69026741991858,12.220319210703828,13.539585509619757,12.280824829931971,14.905952295127552,11.941876953617285,12.80498203076737,12.040014218585647,9.80177907794187,9.851442973967727,14.661292147006433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,12.742305108684418,10.669051434676435,12.745675851925851,12.898321636093375,13.208650509270345,10.327317871132303,10.57750131005945,10.924173049173048,11.7930463980464,13.638561848949175,13.65947401364068,12.008262897233484,9.159167160453924,10.669341984074126,12.532228503819415,11.674611937769832,11.667399440836938,9.953240745823164,13.392931711367467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
