word,af,as,be,bg,bn,br,cy,da,de,el,en,es,fa,fo,fr,fy,ga,gd,gl,gv,hi,hy,is,it,ku,lb,lt,lv,mk,nl,nn,oc,pl,ps,pt,ro,ru,sa,sk,sl,sq,sv,tg,uk,ur,yi
I,ɛk,mɔɪ,,as,ˈɑmiː,,miː,jaj,ɪç,eˈɣo,aɪ,ɟ͡ʝo,mæn,eː,ʒə,ɪk,mʲeː,mi,ˈew,miː,mɛ̃ː,jɛs,jɛɣ,ˈi.o,,eχ,ɐʂ,ɛs,jas,ɪk,eːɡ,ˈjew,ja,zə,ˈew,jew,ja,ɐ.ɦɐ́m,ˈja,,ˈun,ˈjɑː(ɡ),mæn,ˈjɑ,mɛ̃,ɪχ
thou,,tɔɪ,,ti,ˈt̪ʊi,,tiː,du,duː,,ðaʊ,ˈtu,to,tʰʉuː(w),ty,,t̪ˠuː,hu,,,tʊm,du,θu,t̪u,,,tʊ,,ti,ɣɛi̯,,,tɨ,,tu,tu,tɨ,,ˈti,tíː,,dʉː,,ˈtɪ,tʊm,
he,,xi,jon,t̪ɔj,ˈʃe,,eːv,han,ʔeːɐ̯,aˈftos,ˈhiː,el,ʔoː,,il,hɛi̯,ʃeː,ɛ,ˈel,,ʋəʱ,nɑ,ˈhanː,ˈlui,,,jɪs,viɲʃ,tɔj,ɦɛi̯,,,ɔn,haɣə,ˈe.li,,on,,ɔn,ɔ́n,,hanː,ɵ,ˈʋʲin,,
we,,ami,,ˈni.ɛ,,,niː,,viːɐ̯,e̞ˈmis,wiː,noˈsotɾos,mɒː,,nu,vɛi̯,mˠɪdʲ,ʃiɲ,,,ɦəm,mɛŋkʰ,vɪð,ˈnoi,,,mʲæːs,mɛ̄ːs,niɛ,ʋɛi̯,meː,nus,mɨ,muʐ,ˈnɔʃ,noj,mɨ,,ˈmi,míː,nɛ,viː,mɔː,ˈmɪ,ɦəm,
you,jəi,,,ti,ˈt̪ʊi,,tiː,du,duː,e̞ˈsi,juː,ˈtu,to,tʰʉuː(w),ty,doː,t̪ˠuː,hu,,u,t̪uː,du,θu,t̪u,tʊ,du,tʊ,tu,ti,jɛi̯,dʉː,ty,tɨ,ˈtɑse,tu,tu,tɨ,,ˈti,tíː,ti,dʉː,t̪u,ˈtɪ,aːp,
they,,xiʱɔt,,t̪ɛ,t̪ara,,huːɨ̯,di,ziː,,ðeɪ,ˈeʎos,ʔeːˈʃɒːn,tʰaiːɹ,il,ja,ʃiəd̪ˠ,iət̪,,,ʋeː,nəˈɾɑŋkʰ,θeiːr,,,,jæ,,tiɛ,zɛi̯,,,ˈɔ.ɲi,,ˈe.lɨʃ,jej,ɐˈnʲi,,ˈɔɲi,ɔ̀ːni,aˈta,dɔm,,wɔˈnɪ,,
this,dɨt,,,ˈt̪ɔzi,,,hʊn,,ˈdiːzər,aˈftos,ðɪs,ˈeste,ʔin,,sə,,ʃɔ,ʃɔ,,,jəʱ,ɑjs,ˈθɛsːɪ,ˈkwes.to,,des,,ʃis,ˈɔvɔj,ˈdeːzə,,,tɛn,,ˈɛʃ.tɨ,aˈt͡ʃest,ˈɛtət,,,táː,ky,,,,,
that,,,toj,ˈɔnzi,,,ˈhʊnu,dən,ˈjeːnɐ,,ˈðæt,ˈese,ɒːn,,sə,,ənˠ,ʃɪn,,,,ɑjd,,ˈkwello,,,,tas,,dɑt,,,ˈtam.tɛn,,ˈe.sɨ,aˈt͡ʃela,tot,,tɛn,,,dɛnː,,,,
here,,iat,,ˈtuk,,,,,hiːɐ,,hɪə(ɹ),aˈki,iːnˈdʒɒː,,i.si,,,,,,,ɑjsˈtɛʁ,çɛːr,kwa,,hai̯,tʃʲɛ,,ˈtuka,ɦir,,,tu,ˈd̪əlt̪a,ɐˈki,aˈit͡ʃʲ,zʲdʲesʲ,ɐ́t̪.ɽɐ,,túːkaj,,hæːr,,,,
there,dɑːr,tat,,,,,ˈəna,dar,dɔrt,e̞ˈci,ðɛə(ɹ),aˈʎi,ɒːnˈdʒɒː,,la,,ənʲˈʃɪnʲ,,,,,ɑjnˈtɛʁ,ˈθartna,,,do,,tùɾ,ˈtamu,daːr,,,tam,ˈhalta,ɐ.ˈi,aˈko.lo,tam,,ˈtam,tám,,dɛːr,,ˈtɑm,,
