,af,as,be,bg,bn,br,cy,da,de,el,en,es,fa,fo,fr,fy,ga,gd,gl,gv,hi,hy,is,it,ku,lb,lt,lv,mk,nl,nn,oc,pl,ps,pt,ro,ru,sa,sk,sl,sq,sv,tg,uk,ur,yi
af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
as,21.79597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be,20.99678,20.87353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg,19.83484,21.16174,13.24417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bn,22.32133,10.63388,21.72536,20.57216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
br,21.17129,21.81693,22.53734,20.69291,24.51159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cy,20.77647,21.63889,22.8513,20.20154,23.12298,13.08156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da,15.32087,20.91349,21.40813,19.37257,21.17819,20.17816,20.10783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,13.35955,21.54485,21.66783,19.42928,21.96136,20.94558,20.4261,14.30454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el,21.25133,21.05741,19.86436,18.70194,20.89449,21.58769,20.85564,21.20377,20.33884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en,14.67637,21.99379,23.61836,21.77422,22.13941,22.0709,21.20963,15.90019,16.32083,23.14601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,22.92048,21.37988,19.6846,19.45241,21.54904,21.83964,20.44392,20.59323,20.58617,18.58739,22.26658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa,22.36828,21.06104,21.37254,19.99395,19.70709,21.93777,20.92278,21.1325,20.22774,20.38523,22.26825,20.74468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fo,20.68652,23.23556,21.98149,21.05424,22.45265,21.602,21.44631,15.87578,18.41657,21.02633,19.31883,21.15763,22.76742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr,22.22133,22.45529,23.58352,21.00777,22.11938,21.65303,21.47593,21.14498,21.8629,22.55661,21.91705,19.42072,22.16229,23.60509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fy,11.56309,21.71909,21.64124,18.74943,22.15068,19.81646,19.46811,14.53459,12.39116,20.7293,15.61558,21.83136,20.95714,19.92779,21.95003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ga,22.81216,24.66265,24.74391,22.68597,24.07512,22.28622,20.54077,22.18536,22.92395,23.51272,22.79525,23.87201,23.37691,24.75449,23.83111,22.24614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
