word,xmf,ka,lzz,sva
snake,gvɛri,gvɛli,tsʼitsʼilä,hwidʒ
die,ʁurä,sikʼvdili,ʁurä,dägrä
bark,tʼqʼɛbi,kʰɛrkʰi,tʼkʼɛbi,tʼɛpʰ
sand,kʰviʃä,kʰviʃä,ʁumi,kʰwiʃɛ
many,brɛli,bɛvri,didɔ,mäsærd
leaf,pʰurtsɛli,pʰɔtʰɔli,pʰävri,bälɛ
I,mä,mɛ,mä,mi
vomit,rtsʼqʼiälä,rtsʼqʼɛvä,ɔntʰχɔru,litʼχunɛ
hit,mɛgämä,rtʼqʼmä,gɛtʃämu,liqʼɛr
green,tsʼvänɛ,mtsʼvänɛ,χäntʃʼɛni,jərʒi
scratch,tsχäbäruä,pʰχätʃʼnä,ɔʁätsʼkʼu,lipʰχäntʃʼwä
thou,si,ʃɛn,si,si
what,mu,rä,mu,mæ
sharp,kʼväntʰiri,bäsri,mtʃʼkʼirulä,bæsr
old,dʒvɛʃi,dzvɛli,mdʒvɛʃi,dʒwinɛl
wet,ʃɔliri,svɛli,ʃu,məʒir
flow,ulä,dinɛbä,ɔzimzilu,lizi
near,χɔlɔ,äχlɔ,χɔlɔs,pʰɛdiä
sky,tsä,tsä,tsä,dɛts
man,kʼɔtʃi,kʼätsi,kʼɔtʃi,märɛ
cloud,munäpʰä,ʁrubɛli,pʼulä,mɛrɛ
dog,dʒɔʁɔri,dzäʁli,dʒɔʁɔri,ʒɛʁ
tree,dʒä,χɛ,ndʒä,mɛgɛm
not,vär,är,vär,dɛmɛ
root,dʒindʒi,pʰɛsvi,dʒidʒi,tsʼusχund
fish,tʃχɔmi,tʰɛvzi,tʃχɔmi,tsuz
push,ɛkʼɔkʼinä,mitsʼɛvä,mɛkʼäntʃʼinu,likʰχɛ
left,kʼvärtʃχäni,märtsχɛnä,kʼväntʃχäri,lɛrtʰɛn
rope,tʰɔkʼi,tʰɔkʼi,tʰɔkʼi,tʰækʼw
fire,dätʃχiri,tsɛtsχli,dätʃχuri,lɛmɛsg
star,murutsχi,värskʼvlävi,murutsχi,ämtʼqʼwæsg
correct,tʰinu,stsʼɔri,mtʰini,mɛgu
dust,tʼvɛri,mtʼvɛri,mtʼvɛri,pʼisw
we,tʃkʰi,tʃvɛn,tʃkʰin,næ
tongue,ninä,ɛnä,nɛnä,nin
sew,tʃʼälä,kʼɛrvä,ɔtʃʼu,liʃχbi
big,didi,didi,didi,χɔʃä
sit,dɔχunä,dʒdɔmä,dɔχunu,lisgwrɛ
where,sɔ,säd,sɔ,imɛg
grass,tʼqʼä,bäläχi,tʼkʼä,mɛl
river,mältsʼqʼäri,mdinärɛ,ɔrubä,tʃʼälæ
fall,dɔntʰχäpʰä,dätsɛmä,gɛntʰχinu,liwɛχ
ice,ʔini,qʼinuli,buzi,kʼwärɛm
you,tʰkʰvä,tʰkʰvɛn,tʰkʰvän,sgæ
this,tʰɛnä,ɛs,äjä,äli
stab,tsikʼäpʰä,rtʃʼɔbä,ɔtsigu,liswɛm
forest,tʼqʼä,tʼqʼɛ,gɛrmä,tsχɛkʼ
foot,närtʃäkʼutʃχi,tʼɛrpʰi,tʼäbu,lägæäm
how,mutʃʼɔ,rɔgɔr,mutʃʼɔ,imʒi
wash,rtʃχuälä,rɛtsχvä,ɔtʃχu,liʃqʼwdi
sun,bʒä,mzɛ,mʒɔrä,miʒ
and,dɔ,dä,dɔ,i
blood,zisχiri,sisχli,ditsχiri,zisχ
who,mi,vin,min,jær
fight,tʃχupʼi,tʃχubi,ɔkʼɔkʼidinu,litsuäl
stick,bigä,dʒɔχi,bigä,pʰäu
sea,zʁvä,zʁvä,zuʁä,dzuʁwä
four,ɔtʰχi,ɔtʰχi,ɔtʰχɔ,wɔʃtʰχw
skin,tʼqʼɛbi,kʼäni,tʼkʼɛbi,kʼæn
if,vär,tʰu,vänä,läχ
meat,χɔrtsi,χɔrtsi,χɔrtsi,lɛʁw
right,märdzgväni,märdʒvɛnä,mädzgväni,lɛrsgwɛn
float,pʰäpʰäpʰi,tʼivtʼivi,mɔmkʰu,
bite,χitʃuä,kʼbɛtʃä,ɔkʼibinu,liqʰɛpʰ
worm,tʃʼiä,tʃʼiä,tsʼitsʼi,mətʼ
dirty,tsʼindämi,tʃʼutʃʼqʼiäni,lɛbɔni,lətsʼid
at,,zɛ,,ʒi
hold,däkʼinɛbä,dätʃʼɛrä,ɔkʰätʃu,lirmi
tie,dɔkʼiruä,däbmä,mɛkʼiru,libɛm
fog,nirsi,nisli,mpʼulä,bintʼw
with,tsʼkʼɛlä,tʰän,kʼälä,tsäχæn
husband,kʰɔmɔndʒi,kʰmäri,kʰɔmɔli,tʃʼæʃ
rotten,ʔɔrädili,dämpʼäli,χtsäpʰɛri,mɛkʰwrɛ
water,tsʼqʼäri,tsʼqʼäli,tsʼkʼäri,lits
flower,pʼɛuli,qʼvävili,pʰukʰiri,muʁwæ
human,kʼɔtʃi,ädämiäni,kʼɔtʃi,ämswäld
wife,ɔsuri,tsɔli,ɔχɔrdʒä,χɛχw
tail,kʼudɛli,kʼudi,kʼudɛli,hækʼwɛd
round,rgväli,mrgväli,mɔrgväli,kʼurpʼi
five,χutʰi,χutʰi,χutʰ,wɔχuʃd
feather,burdʁä,bumbuli,bundʁä,pʼintʼqʼil
black,utʃä,ʃävi,utʃä,mɛʃχɛ
good,dʒgiri,kʼärgi,kʼäi,χɔtʃä
long,gindzɛ,grdzɛli,gundzɛ,dʒwɛdi
fingernail,birtsχä,pʰrtʃχili,butsχä,tsχä
louse,tʼi,tʼili,tʼi,tʼiʃ
yellow,ʔvintʰɛli,qʼvitʰɛli,säri,qʼwitʰɛl
blow,bäruä,bɛrvä,bäräpʰä,libɛlɛ
squeeze,mɔntʃʼirä,mɔtʃʼɛrä,ɔzdimu,litʰlɛ
liver,tʃχɔntʃχi,ʁvidzli,dʒigɛri,qʼwiʒɛ
give,mɛtʃämä,mitsɛmä,mɛtʃämu,lihwdi
year,tsʼänä,tsʼɛli,tsʼänä,zæ
nose,tʃχvindi,tsχviri,tʃχindi,nɛpʰχwnä
spit,pʰurtʼinuä,pʰurtʰχɛbä,ntʃʼkʼväläpʰä,litʼbənɛ
fly,pʰurinuä,pʰrɛnä,ɔpʰutʰχinu,lipʼɛr
small,tʃʼitʃʼɛ,pʼätʼärä,tʃʼutʼä,χɔχrä
few,tʃʼitʃʼɛ,tsɔtʼä,mtsikʰä,mɔid
fruit,χili,χili,χilä,χil
there,tʰɛkʰ,ikʰ,ɛkʰ,ɛtʃɛtʃu
turn,rtʰäpʰä,tʼriäli,ɔkʰtʰu,lisipʼ
ear,ʔudʒi,qʼuri,qʼudʒi,ʃdim
wipe,tsʼiminduä,tsʼmɛndä,ɔtsʼimidu,likʼwtsæni
pull,zindäpʰi,mɔkʰätʃvä,ɔzdimu,libid
three,sumi,sämi,sum,sɛmi
hunt,nädiruä,nädirɔbä,äbdʒɔbä,litʰχwær
stone,kʰuä,kʰvä,kʰvä,bætʃ
far,ʃɔri,ʃɔri,mɛndrä,dʒwɛdiä
suck,tsʼuälä,tsʼɔvä,ɔtsʼu,litʃigw
laugh,dzitsä,sitsili,dzitsini,litswnäl
mountain,gɔlä,mtʰä,gɔlä,läχw
leg,kʼutʃχi,pʰɛχi,kʼutʃχɛ,tʃʼiʃχ
